year,Rank,Name,No. of FTE students,No. of students per staff,International students,Female:Male ratio,rank_prefix
2024,1,University of Oxford,"21,750",10.9,42%,49 : 51,
2024,2,Stanford University,"14,517",6.4,23%,47 : 53,
2024,3,Massachusetts Institute of Technology,"11,085",8.0,33%,41 : 59,
2024,4,Harvard University,"20,050",9.0,25%,51 : 49,
2024,5,University of Cambridge,"20,565",11.5,38%,48 : 52,
2024,6,Princeton University,"7,753",7.3,23%,47 : 53,
2024,7,California Institute of Technology,"2,240",6.1,33%,37 : 63,
2024,8,Imperial College London,"20,275",11.8,61%,42 : 58,
2024,9,"University of California, Berkeley","39,991",17.9,22%,52 : 48,
2024,10,Yale University,"11,924",5.2,21%,51 : 49,
2024,11,ETH Zurich,"22,619",15.4,43%,33 : 67,
2024,12,Tsinghua University,"38,518",11.2,10%,,
2024,13,The University of Chicago,"15,792",6.2,36%,47 : 53,
2024,14,Peking University,"33,064",10.9,14%,,
2024,15,Johns Hopkins University,"15,772",4.1,28%,56 : 44,
2024,16,University of Pennsylvania,"21,312",6.2,22%,54 : 46,
2024,17,Columbia University,"25,914",5.2,35%,,
2024,18,"University of California, Los Angeles","42,634",9.6,15%,56 : 44,
2024,19,National University of Singapore,"33,334",20.0,24%,49 : 51,
2024,20,Cornell University,"23,620",10.0,24%,51 : 49,
2024,21,University of Toronto,"79,282",25.8,27%,56 : 44,
2024,22,UCL,"41,110",11.3,61%,59 : 41,
2024,23,University of Michigan-Ann Arbor,"45,783",8.1,16%,51 : 49,
2024,24,Carnegie Mellon University,"13,562",11.9,44%,44 : 56,
2024,25,University of Washington,"49,486",10.1,16%,56 : 44,
2024,26,Duke University,"15,527",3.9,18%,52 : 48,
2024,27,New York University,"48,461",11.8,42%,58 : 42,
2024,28,Northwestern University,"18,894",13.1,18%,52 : 48,
2024,29,The University of Tokyo,"26,345",10.3,15%,,
2024,30,University of Edinburgh,"33,940",11.5,46%,61 : 39,=
2024,30,Technical University of Munich,"35,506",44.4,39%,37 : 63,=
2024,32,"Nanyang Technological University, Singapore","25,895",16.7,27%,49 : 51,
2024,33,École Polytechnique Fédérale de Lausanne,"12,543",13.5,64%,30 : 70,
2024,34,"University of California, San Diego","40,596",12.0,19%,45 : 55,
2024,35,University of Hong Kong,"18,103",18.3,43%,55 : 45,
2024,36,Georgia Institute of Technology,"32,079",28.0,29%,34 : 66,
2024,37,University of Melbourne,"51,307",25.1,47%,58 : 42,
2024,38,King’s College London,"32,835",13.9,53%,63 : 37,=
2024,38,LMU Munich,"34,622",33.5,18%,62 : 38,=
2024,40,Paris Sciences et Lettres – PSL Research University Paris,"16,120",15.0,22%,51 : 49,
2024,41,University of British Columbia,"58,987",19.4,34%,55 : 45,
2024,42,University of Illinois at Urbana-Champaign,"50,250",19.6,23%,51 : 49,
2024,43,Shanghai Jiao Tong University,"38,472",12.6,9%,37 : 63,
2024,44,Fudan University,"38,101",12.6,9%,52 : 48,
2024,45,KU Leuven,"49,435",37.3,19%,52 : 48,
2024,46,London School of Economics and Political Science,"11,945",12.6,72%,56 : 44,
2024,47,Universität Heidelberg,"19,315",13.3,20%,55 : 45,
2024,48,Delft University of Technology,"21,262",15.9,30%,31 : 69,
2024,49,McGill University,"30,821",11.9,29%,61 : 39,
2024,50,Karolinska Institute,"8,085",9.9,27%,70 : 30,
2024,51,University of Manchester,"40,725",15.6,45%,56 : 44,
2024,52,University of Texas at Austin,"48,558",16.4,8%,55 : 45,
2024,53,The Chinese University of Hong Kong,"18,290",18.8,25%,,
2024,54,Monash University,"58,460",43.1,38%,56 : 44,
2024,55,Kyoto University,"21,817",9.0,11%,25 : 75,=
2024,55,Zhejiang University,"48,169",12.0,16%,,=
2024,57,University of Science and Technology of China,"20,252",8.1,5%,,
2024,58,Université Paris-Saclay,"31,662",13.0,24%,50 : 50,
2024,59,"University of California, Davis","37,926",13.3,18%,60 : 40,
2024,60,The University of Sydney,"57,414",23.1,51%,58 : 42,
2024,61,University of Amsterdam,"28,649",13.2,36%,60 : 40,
2024,62,Seoul National University,"28,620",16.1,13%,,
2024,63,University of Wisconsin-Madison,"41,209",9.9,13%,,
2024,64,Brown University,"9,781",10.3,19%,,=
2024,64,The Hong Kong University of Science and Technology,"9,794",19.9,30%,,=
2024,64,Wageningen University & Research,"15,899",18.1,28%,54 : 46,=
2024,67,Australian National University,"17,293",15.1,48%,52 : 48,
2024,68,Washington University in St Louis,"13,825",7.3,22%,52 : 48,
2024,69,"University of California, Santa Barbara","25,540",27.5,18%,54 : 46,
2024,70,The University of Queensland,"42,847",39.1,42%,55 : 45,
2024,71,Institut Polytechnique de Paris,"6,073",6.8,42%,25 : 75,
2024,72,University of North Carolina at Chapel Hill,"30,782",7.7,8%,60 : 40,
2024,73,Nanjing University,"36,711",16.7,8%,54 : 46,
2024,74,University of Southern California,"44,083",14.2,24%,49 : 51,
2024,75,Sorbonne University,"41,527",14.5,22%,60 : 40,
2024,76,Yonsei University (Seoul campus),"18,961",13.9,17%,49 : 51,
2024,77,Leiden University,"35,072",19.3,21%,60 : 40,
2024,78,Boston University,"26,677",10.8,29%,58 : 42,
2024,79,University of Groningen,"31,942",28.8,29%,53 : 47,
2024,80,University of Zurich,"25,608",14.7,24%,58 : 42,
2024,81,University of Bristol,"27,335",14.8,31%,55 : 45,
2024,82,City University of Hong Kong,"9,076",13.2,67%,54 : 46,
2024,83,Korea Advanced Institute of Science and Technology (KAIST),"10,130",10.7,8%,21 : 79,
2024,84,UNSW Sydney,"47,044",36.6,40%,47 : 53,
2024,85,University of Minnesota,"59,556",11.8,9%,55 : 45,
2024,86,Purdue University West Lafayette,"42,633",18.3,17%,44 : 56,
2024,87,University of Glasgow,"32,270",14.4,43%,59 : 41,=
2024,87,The Hong Kong Polytechnic University,"20,034",30.6,30%,51 : 49,=
2024,87,Humboldt University of Berlin,"34,761",54.5,18%,,=
2024,90,RWTH Aachen University,"34,914",43.3,29%,34 : 66,
2024,91,University of Bonn,"26,290",44.5,17%,57 : 43,
2024,92,"University of California, Irvine","35,675",16.2,26%,53 : 47,=
2024,92,Vanderbilt University,"12,971",3.9,17%,55 : 45,=
2024,94,Charité - Universitätsmedizin Berlin,"8,868",17.5,21%,65 : 35,
2024,95,Lomonosov Moscow State University,"32,680",9.6,37%,50 : 50,=
2024,95,University of Tübingen,"21,632",27.1,14%,59 : 41,=
2024,97,KTH Royal Institute of Technology,"13,269",15.9,26%,34 : 66,=
2024,97,University of Southampton,"19,920",13.0,35%,51 : 49,=
2024,99,Erasmus University Rotterdam,"33,874",36.0,25%,54 : 46,=
2024,99,Ohio State University (Main campus),"55,538",11.4,11%,51 : 49,=
2024,101,University of Birmingham,"32,625",15.2,32%,58 : 42,
2024,102,Free University of Berlin,"25,427",41.5,20%,63 : 37,
2024,103,University of Copenhagen,"31,728",4.3,14%,62 : 38,=
2024,103,McMaster University,"28,254",30.9,22%,56 : 44,=
2024,105,University of Sheffield,"27,860",15.4,40%,53 : 47,
2024,106,Emory University,"13,127",4.0,19%,61 : 39,=
2024,106,Lund University,"30,349",12.0,18%,56 : 44,=
