year,Rank,Name,No. of FTE students,No. of students per staff,International students,Female:Male ratio,rank_prefix
2024,106,University of Warwick,"24,905",14.4,44%,50 : 50,=
2024,109,Aarhus University,"26,996",13.5,9%,56 : 44,=
2024,109,University of Alberta,"33,730",22.8,27%,,=
2024,111,University of Adelaide,"23,792",36.4,31%,49 : 51,=
2024,111,University of Göttingen,"23,349",27.4,14%,53 : 47,=
2024,111,Université de Montréal,"39,935",20.5,22%,,=
2024,114,"University of Maryland, College Park","33,988",17.0,9%,49 : 51,
2024,115,Ghent University,"41,487",37.6,12%,57 : 43,
2024,116,University of Bern,"12,399",18.2,16%,59 : 41,=
2024,116,Michigan State University,"44,514",16.1,11%,52 : 48,=
2024,118,Texas A&M University,"64,427",20.5,6%,47 : 53,
2024,119,Rice University,"7,318",9.8,26%,42 : 58,=
2024,119,University of Vienna,"31,318",37.4,31%,66 : 34,=
2024,121,University of Helsinki,"22,887",15.9,5%,67 : 33,
2024,122,Penn State (Main campus),"45,875",14.2,15%,48 : 52,
2024,123,University of Basel,"8,536",10.4,31%,56 : 44,=
2024,123,University of Massachusetts,"63,500",13.3,14%,50 : 50,=
2024,125,Vrije Universiteit Amsterdam,"31,704",19.2,18%,57 : 43,
2024,126,Technical University of Denmark,"10,410",7.7,28%,32 : 68,
2024,127,University of Oslo,"20,967",12.5,15%,66 : 34,
2024,128,University of Freiburg,"19,417",34.4,17%,53 : 47,
2024,129,University of Leeds,"33,450",14.4,32%,59 : 41,
2024,130,University of Nottingham,"33,520",16.0,27%,54 : 46,=
2024,130,Tohoku University,"17,409",11.8,12%,28 : 72,=
2024,132,University of Florida,"48,114",16.7,9%,56 : 44,
2024,133,University of Rochester,"9,855",7.3,34%,50 : 50,
2024,134,Trinity College Dublin,"18,778",22.2,34%,61 : 39,
2024,135,Queen Mary University of London,"22,205",14.6,45%,54 : 46,
2024,136,University of Hamburg,"29,240",58.5,13%,58 : 42,=
2024,136,Technical University of Berlin,"20,425",49.6,29%,35 : 65,=
2024,138,University of Colorado Boulder,"35,844",16.5,8%,45 : 55,=
2024,138,Maastricht University,"21,337",19.6,57%,60 : 40,=
2024,140,Karlsruhe Institute of Technology,"21,448",20.5,25%,29 : 71,=
2024,140,Radboud University Nijmegen,"23,004",18.2,12%,57 : 43,=
2024,140,Uppsala University,"24,749",13.3,17%,60 : 40,=
2024,143,University of Lausanne,"14,478",10.5,23%,,=
2024,143,The University of Western Australia,"19,382",22.4,26%,50 : 50,=
2024,145,University of Pittsburgh-Pittsburgh campus,"26,305",5.4,10%,56 : 44,=
2024,145,Sungkyunkwan University (SKKU),"23,402",19.4,19%,,=
2024,147,University of York,"19,505",16.1,31%,56 : 44,
2024,148,University of Technology Sydney,"28,223",37.4,25%,50 : 50,
2024,149,Pohang University of Science and Technology (POSTECH),"3,300",10.5,5%,,
2024,150,University of Auckland,"35,663",24.4,31%,57 : 43,=
2024,150,Sichuan University,"49,117",15.9,5%,,=
2024,152,University of Barcelona,"44,365",15.3,11%,64 : 36,=
2024,152,National Taiwan University (NTU),"24,744",11.1,13%,41 : 59,=
2024,152,Université Paris Cité,"61,690",16.9,18%,66 : 34,=
2024,155,University of Arizona,"45,517",19.9,7%,56 : 44,=
2024,155,University of Bologna,"74,105",24.7,11%,57 : 43,=
2024,155,Lancaster University,"15,385",13.9,38%,51 : 49,=
2024,158,Huazhong University of Science and Technology,"57,663",15.5,4%,,=
2024,158,University of Waterloo,"36,904",24.2,23%,47 : 53,=
2024,160,University of Cologne,"31,299",28.7,17%,,
2024,161,University of Antwerp,"16,168",31.8,17%,56 : 44,=
2024,161,Dartmouth College,"6,226",7.4,16%,49 : 51,=
2024,161,TU Dresden,"29,719",29.4,17%,45 : 55,=
2024,164,Case Western Reserve University,"10,294",8.8,25%,51 : 49,=
2024,164,Wuhan University,"56,066",15.0,5%,,=
2024,166,University of Virginia (Main campus),"25,953",8.9,11%,54 : 46,
2024,167,University of Cape Town,"21,961",13.6,13%,54 : 46,
2024,168,Université Catholique de Louvain,"25,409",37.3,20%,54 : 46,=
2024,168,Eindhoven University of Technology,"10,611",21.4,27%,,=
2024,168,Harbin Institute of Technology,"30,933",10.6,6%,,=
2024,168,University of Liverpool,"25,955",14.2,32%,54 : 46,=
2024,168,Newcastle University,"25,650",14.8,26%,53 : 47,=
2024,168,Scuola Normale Superiore di Pisa,614,7.4,11%,29 : 71,=
2024,174,Durham University,"19,575",14.0,32%,54 : 46,
2024,175,The University of Osaka,"22,274",10.4,10%,32 : 68,=
2024,175,University of Würzburg,"23,637",38.3,12%,59 : 41,=
2024,177,Beijing Normal University,"26,439",14.4,9%,,=
2024,177,University of Exeter,"27,190",16.6,28%,53 : 47,=
2024,177,University of Ottawa,"38,366",27.2,26%,59 : 41,=
2024,180,Macquarie University,"30,371",51.7,22%,,
2024,181,Sapienza University of Rome,"60,522",22.2,9%,61 : 39,
2024,182,Arizona State University (Tempe),"48,870",19.7,14%,46 : 54,
2024,183,University of Geneva,"18,865",8.4,40%,62 : 38,
2024,184,University of Twente,"9,964",13.9,38%,37 : 63,
2024,185,Stockholm University,"29,774",20.3,13%,,=
2024,185,Tongji University,"31,632",11.3,15%,41 : 59,=
2024,187,Georgetown University,"17,508",10.1,18%,55 : 45,=
2024,187,University of Mannheim,"7,475",57.1,14%,52 : 48,=
2024,189,Chalmers University of Technology,"10,103",15.4,17%,32 : 68,
2024,190,Cardiff University,"28,815",15.0,27%,58 : 42,
2024,191,Tokyo Institute of Technology,"9,928",9.6,17%,16 : 84,=
2024,191,Tufts University,"11,611",10.5,16%,57 : 43,=
2024,193,University of Erlangen-Nuremberg,"29,467",41.9,13%,51 : 49,=
2024,193,University of Macau,"10,908",18.6,41%,54 : 46,=
2024,193,University of Münster,"27,529",25.1,5%,,=
2024,193,University of St Andrews,"10,325",12.4,46%,58 : 42,=
2024,193,Ulm University,"10,301",26.4,13%,51 : 49,=
2024,198,Indiana University,"66,389",12.3,12%,54 : 46,
2024,199,University of Notre Dame,"12,576",10.9,12%,47 : 53,=
2024,199,Queensland University of Technology,"35,164",37.9,14%,54 : 46,=
2024,199,Ulsan National Institute of Science and Technology (UNIST),"3,799",11.8,9%,28 : 72,=
2024,201–250,Aalborg University,"17,275",14.9,12%,,
2024,201–250,Aalto University,"14,427",20.4,23%,39 : 61,
2024,201–250,University of Aberdeen,"12,755",15.3,40%,58 : 42,
2024,201–250,Universitat Autònoma de Barcelona (UAB),"32,901",13.2,13%,60 : 40,
2024,201–250,University of Calgary,"34,012",18.8,24%,54 : 46,
2024,201–250,"University of California, Santa Cruz","19,154",24.2,12%,47 : 53,
2024,201–250,Curtin University,"29,283",20.8,29%,53 : 47,
2024,201–250,Friedrich Schiller University Jena,"16,048",18.9,14%,,
2024,201–250,George Washington University,"22,211",13.0,14%,62 : 38,
2024,201–250,Goethe University Frankfurt,"28,572",14.5,14%,59 : 41,
2024,201–250,University of Gothenburg,"21,698",11.9,13%,,
2024,201–250,University of Hawai’i at Mānoa,"14,936",11.3,10%,57 : 43,
2024,201–250,University of Illinois Chicago,"28,868",11.4,18%,54 : 46,
2024,201–250,Indian Institute of Science,"4,495",9.6,1%,27 : 73,
2024,201–250,University of Iowa,"28,583",10.9,6%,55 : 45,
2024,201–250,King Fahd University of Petroleum and Minerals,"6,801",8.5,15%,8 : 92,
2024,201–250,Korea University,"22,324",16.3,31%,,
2024,201–250,University of Leicester,"14,000",13.9,31%,54 : 46,
2024,201–250,Université Libre de Bruxelles,"30,287",51.7,30%,58 : 42,
2024,201–250,University of Luxembourg,"5,599",21.3,49%,53 : 47,
2024,201–250,Medical University of Graz,"4,027",15.5,29%,54 : 46,
2024,201–250,Medical University of Vienna,"7,271",8.4,30%,54 : 46,
2024,201–250,University of Miami,"17,060",10.4,14%,54 : 46,
2024,201–250,Moscow Institute of Physics and Technology (MIPT),"6,111",11.6,21%,,
2024,201–250,Nagoya University,"15,224",13.0,12%,30 : 70,
2024,201–250,University of Newcastle,"24,608",31.3,16%,57 : 43,
2024,201–250,"Northeastern University, US","22,269",14.1,32%,49 : 51,
2024,201–250,University of Padua,"44,401",26.5,7%,56 : 44,
2024,201–250,Politecnico di Milano,"38,978",25.7,19%,35 : 65,
2024,201–250,Pompeu Fabra University,"12,173",22.7,13%,61 : 39,
2024,201–250,University of Potsdam,"14,330",38.1,16%,57 : 43,
2024,201–250,Queen’s University Belfast,"20,895",17.2,41%,57 : 43,
2024,201–250,University of Reading,"15,945",16.6,31%,55 : 45,
2024,201–250,Rutgers University–New Brunswick,"46,256",11.2,17%,53 : 47,
2024,201–250,Sant’Anna School of Advanced Studies – Pisa,718,7.4,20%,37 : 63,
2024,201–250,University of São Paulo,"83,182",13.9,2%,47 : 53,
2024,201–250,Southern University of Science and Technology (SUSTech),"6,575",9.0,1%,,
2024,201–250,Sun Yat-sen University,"61,453",15.2,5%,48 : 52,
2024,201–250,University of Sussex,"17,640",17.3,34%,55 : 45,
2024,201–250,Swinburne University of Technology,"14,324",28.5,24%,42 : 58,
2024,201–250,Tel Aviv University,"24,995",24.2,5%,57 : 43,
2024,201–250,Tianjin University,"26,486",8.9,13%,,
2024,201–250,Tilburg University,"13,225",32.2,21%,51 : 49,
2024,201–250,University College Dublin,"23,405",20.7,25%,,
2024,201–250,University of Utah,"31,502",13.3,8%,50 : 50,
2024,201–250,Vrije Universiteit Brussel,"14,931",35.1,23%,58 : 42,
2024,201–250,Western University,"30,176",33.0,24%,56 : 44,
2024,201–250,University of Wollongong,"16,328",26.1,22%,55 : 45,
2024,251–300,Abu Dhabi University,"2,506",10.9,60%,51 : 49,
2024,251–300,University of Bath,"15,280",15.8,31%,45 : 55,
2024,251–300,Beijing Institute of Technology,"34,050",13.4,8%,,
2024,251–300,University of Bergen,"15,751",13.0,11%,61 : 39,
2024,251–300,Boston College,"13,156",14.9,10%,55 : 45,
2024,251–300,Brandeis University,"4,791",11.6,33%,59 : 41,
2024,251–300,"University of California, Riverside","25,670",19.6,14%,53 : 47,
2024,251–300,Deakin University,"40,988",32.7,18%,60 : 40,
2024,251–300,University of East Anglia,"16,475",14.3,21%,57 : 43,
2024,251–300,École Normale Supérieure de Lyon,"2,024",7.9,11%,43 : 57,
2024,251–300,Florida State University,"39,831",24.6,6%,58 : 42,
2024,251–300,Griffith University,"34,770",31.6,15%,60 : 40,
2024,251–300,Heinrich Heine University Düsseldorf,"28,121",30.1,13%,58 : 42,
2024,251–300,University of Hohenheim,"8,369",37.7,14%,57 : 43,
2024,251–300,Humanitas University,"1,988",17.9,18%,59 : 41,
2024,251–300,Johannes Gutenberg University of Mainz,"30,755",24.1,11%,59 : 41,
2024,251–300,Khalifa University,"3,289",9.3,41%,58 : 42,
2024,251–300,King Abdulaziz University,"60,540",13.9,3%,50 : 50,
2024,251–300,University of Konstanz,"7,594",34.5,11%,58 : 42,
2024,251–300,Kyung Hee University,"20,427",17.6,30%,56 : 44,
2024,251–300,LUT University,"5,028",31.6,14%,34 : 66,
2024,251–300,La Trobe University,"19,172",28.2,29%,63 : 37,
2024,251–300,Université Laval,"30,362",17.9,16%,58 : 42,
2024,251–300,Linköping University,"15,233",14.9,15%,54 : 46,
2024,251–300,Loughborough University,"16,110",13.9,25%,40 : 60,
2024,251–300,Macau University of Science and Technology,"14,091",41.8,92%,57 : 43,
2024,251–300,University of Malaya,"19,346",10.2,22%,55 : 45,
2024,251–300,Medical University of Innsbruck,"3,337",12.9,44%,55 : 45,
2024,251–300,Nankai University,"31,416",11.7,7%,,
2024,251–300,North Carolina State University,"31,391",15.9,11%,49 : 51,
2024,251–300,University of Oulu,"10,719",20.8,8%,55 : 45,
2024,251–300,Qatar University,"10,081",8.4,36%,77 : 23,
2024,251–300,Queen’s University,"27,034",25.9,16%,58 : 42,
2024,251–300,RCSI University of Medicine and Health Sciences,"2,703",23.9,67%,,
2024,251–300,RMIT University,"32,574",24.0,34%,48 : 52,
2024,251–300,Ruhr University Bochum,"37,709",46.7,16%,50 : 50,
2024,251–300,Sejong University,"11,678",18.9,15%,51 : 49,
2024,251–300,Semmelweis University,"9,966",12.8,37%,69 : 31,
2024,251–300,Simon Fraser University,"27,269",26.8,31%,54 : 46,
2024,251–300,South China University of Technology,"40,449",12.6,6%,38 : 62,
2024,251–300,University of Southern Denmark,"18,279",9.9,13%,52 : 48,
2024,251–300,University of South Florida,"40,379",19.0,13%,,
2024,251–300,Stony Brook University,"25,825",10.5,19%,54 : 46,
2024,251–300,University of Stuttgart,"15,152",25.3,20%,34 : 66,
2024,251–300,University of Surrey,"14,630",16.3,33%,54 : 46,
2024,251–300,Università della Svizzera italiana,"3,714",14.0,67%,46 : 54,
2024,251–300,Swansea University,"18,505",16.8,21%,47 : 53,
2024,251–300,University of Tasmania,"16,894",22.5,31%,60 : 40,
2024,251–300,Technical University of Darmstadt,"15,882",37.0,19%,33 : 67,
2024,251–300,TU Wien,"11,373",19.0,31%,32 : 68,
2024,251–300,Virginia Polytechnic Institute and State University,"37,225",18.6,13%,44 : 56,
2024,251–300,Vita-Salute San Raffaele University,"4,087",13.9,5%,62 : 38,
2024,251–300,Xi’an Jiaotong University,"45,764",14.7,7%,35 : 65,
2024,301–350,Beihang University,"32,854",12.3,4%,,
2024,301–350,"Birkbeck, University of London","7,610",12.5,41%,57 : 43,
2024,301–350,University of Bremen,"12,263",19.5,13%,53 : 47,
2024,301–350,University at Buffalo,"27,086",17.2,12%,46 : 54,
2024,301–350,Università Cattolica del Sacro Cuore,"28,830",39.1,7%,71 : 29,
2024,301–350,"China Medical University, Taiwan","7,110",14.7,7%,57 : 43,
2024,301–350,Copenhagen Business School,"16,785",27.5,23%,48 : 52,
2024,301–350,Dalhousie University,"17,314",14.7,27%,54 : 46,
2024,301–350,Drexel University,"16,910",11.0,15%,51 : 49,
2024,301–350,University of Dundee,"14,145",18.1,25%,65 : 35,
2024,301–350,East China Normal University,"28,787",14.1,8%,64 : 36,
2024,301–350,University of Essex,"15,540",16.0,41%,54 : 46,
2024,301–350,Flinders University,"17,422",29.4,33%,66 : 34,
2024,301–350,University of Galway,"15,734",26.1,16%,59 : 41,
2024,301–350,Université Grenoble Alpes,"51,244",18.4,17%,53 : 47,
2024,301–350,Hanyang University,"19,344",13.2,21%,,
2024,301–350,Hebrew University of Jerusalem,"19,267",8.9,5%,58 : 42,
2024,301–350,Hong Kong Baptist University,"7,460",10.2,55%,65 : 35,
2024,301–350,University of Innsbruck,"15,315",23.7,48%,55 : 45,
2024,301–350,University of Kiel,"29,463",23.9,8%,54 : 46,
2024,301–350,Kyushu University,"18,220",7.7,13%,28 : 72,
2024,301–350,University of Liège,"23,545",29.2,20%,58 : 42,
2024,301–350,Montpellier University,"40,734",20.5,15%,55 : 45,
2024,301–350,University of Navarra,"11,969",14.3,26%,54 : 46,
2024,301–350,Northwestern Polytechnical University,"36,797",14.5,4%,25 : 75,
2024,301–350,Norwegian University of Science and Technology,"37,865",15.0,9%,49 : 51,
2024,301–350,Oregon Health and Science University,"2,984",0.9,3%,68 : 32,
2024,301–350,University of Otago,"19,350",20.6,16%,61 : 39,
2024,301–350,University of Pavia,"17,701",31.5,9%,54 : 46,
2024,301–350,University of Rome II – Tor Vergata,"18,480",24.0,20%,58 : 42,
2024,301–350,"Royal Holloway, University of London","11,290",16.1,31%,55 : 45,
2024,301–350,"St George’s, University of London","3,725",13.1,18%,66 : 34,
2024,301–350,Sharif University of Technology,"9,389",21.8,2%,26 : 74,
2024,301–350,University of South Australia,"22,822",30.2,17%,60 : 40,
2024,301–350,Southeast University,"39,637",12.4,4%,36 : 64,
2024,301–350,Stellenbosch University,"25,140",25.7,7%,56 : 44,
2024,301–350,University of Strathclyde,"20,400",16.3,25%,51 : 49,
2024,301–350,Swedish University of Agricultural Sciences,"4,437",4.7,8%,71 : 29,
2024,301–350,Tampere University,"16,236",20.7,7%,55 : 45,
2024,301–350,University of Tartu,"9,694",9.0,12%,68 : 32,
2024,301–350,Universiti Teknologi Petronas,"4,570",13.1,12%,37 : 63,
2024,301–350,The University of Tennessee-Knoxville,"28,377",17.0,3%,,
2024,301–350,University of Turku,"13,528",15.7,6%,63 : 37,
2024,301–350,United Arab Emirates University,"8,147",12.6,18%,74 : 26,
2024,301–350,University College Cork,"18,567",21.1,16%,59 : 41,
2024,301–350,Washington State University,"28,896",18.8,6%,55 : 45,
2024,301–350,Western Sydney University,"35,590",41.8,21%,59 : 41,
2024,301–350,University of the Witwatersrand,"27,765",24.4,7%,57 : 43,
2024,301–350,Xiamen University,"44,715",15.1,2%,,
2024,351–400,Aix-Marseille University,"72,946",17.3,14%,60 : 40,
2024,351–400,Amirkabir University of Technology,"9,859",20.2,3%,35 : 65,
2024,351–400,Autonomous University of Madrid,"30,227",13.4,15%,62 : 38,
2024,351–400,University of Bayreuth,"8,944",24.5,14%,46 : 54,
2024,351–400,University of Bordeaux,"52,643",21.7,14%,60 : 40,
2024,351–400,Brunel University of London,"14,130",17.9,40%,47 : 53,
2024,351–400,University of Campinas,"32,252",18.9,3%,46 : 54,
2024,351–400,University of Canberra,"11,299",34.4,23%,56 : 44,
2024,351–400,Chongqing University,"42,607",20.1,2%,,
2024,351–400,"City, University of London","16,080",19.5,45%,58 : 42,
2024,351–400,University of Colorado Denver/Anschutz Medical Campus,"20,208",4.5,7%,58 : 42,
2024,351–400,University of Connecticut,"28,128",13.1,11%,53 : 47,
2024,351–400,Daegu Gyeongbuk Institute of Science and Technology (DGIST),742,6.3,4%,36 : 64,
2024,351–400,Edith Cowan University,"17,965",29.8,24%,62 : 38,
2024,351–400,University of Electronic Science and Technology of China,"37,498",15.7,3%,30 : 70,
2024,351–400,University of Florence,"40,535",24.0,10%,56 : 44,
2024,351–400,Free University of Bozen-Bolzano,"4,244",10.7,14%,67 : 33,
2024,351–400,University of Georgia (USA),"37,565",15.7,6%,58 : 42,
2024,351–400,Hasselt University,"5,749",30.9,14%,50 : 50,
2024,351–400,Heriot-Watt University,"9,735",18.2,36%,39 : 61,
2024,351–400,Hokkaido University,"17,659",8.2,10%,29 : 71,
2024,351–400,Hunan University,"41,481",17.8,2%,47 : 53,
2024,351–400,Illinois Institute of Technology,"6,107",12.2,36%,37 : 63,
2024,351–400,Iowa State University,"28,591",17.1,8%,46 : 54,
2024,351–400,James Cook University,"9,759",17.3,9%,66 : 34,
2024,351–400,Justus Liebig University Giessen,"27,184",42.4,11%,64 : 36,
2024,351–400,University of Kansas,"23,410",9.5,7%,53 : 47,
2024,351–400,Koç University,"6,427",19.5,9%,49 : 51,
2024,351–400,Leibniz University Hannover,"19,807",39.5,15%,44 : 56,
2024,351–400,University of Manitoba,"30,316",30.0,21%,54 : 46,
2024,351–400,Middle East Technical University,"16,182",21.2,12%,49 : 51,
2024,351–400,University of Milan,"50,995",21.8,7%,60 : 40,
2024,351–400,University of Milan-Bicocca,"29,943",29.8,5%,62 : 38,
2024,351–400,Murdoch University,"14,816",34.0,38%,62 : 38,
2024,351–400,University of Naples Federico II,"56,127",19.5,2%,56 : 44,
2024,351–400,Peter the Great St Petersburg Polytechnic University,"16,400",10.0,33%,42 : 58,
2024,351–400,Sabancı University,"3,847",20.5,11%,38 : 62,
2024,351–400,University of St Gallen,"8,799",12.9,33%,36 : 64,
2024,351–400,University of Saskatchewan,"17,924",18.1,21%,56 : 44,
2024,351–400,University of Sharjah,"12,848",18.9,51%,67 : 33,
2024,351–400,Shenzhen University,"35,736",14.0,1%,49 : 51,
2024,351–400,Southern Medical University,"20,555",10.7,6%,,
2024,351–400,University of Southern Queensland,"11,650",24.8,15%,63 : 37,
2024,351–400,Technion Israel Institute of Technology,"15,934",22.7,13%,40 : 60,
2024,351–400,Temple University,"34,069",12.3,6%,56 : 44,
2024,351–400,University of Texas at Dallas,"24,679",21.6,15%,44 : 56,
2024,351–400,University of Trento,"14,100",18.4,7%,51 : 49,
2024,351–400,University of Tsukuba,"15,506",12.1,16%,38 : 62,
2024,351–400,University of Victoria,"21,486",23.9,21%,56 : 44,
2024,351–400,York University,"44,038",29.1,28%,55 : 45,
2024,401–500,"Asia University, Taiwan","11,431",29.5,4%,63 : 37,
2024,401–500,Aston University,"12,950",19.0,25%,48 : 52,
2024,401–500,Auckland University of Technology,"18,592",17.7,46%,60 : 40,
2024,401–500,Australian Catholic University,"23,843",38.4,14%,76 : 24,
2024,401–500,Bangor University,"8,130",14.8,23%,61 : 39,
2024,401–500,Bauman Moscow State Technical University,"16,061",6.6,18%,42 : 58,
2024,401–500,Bond University,"3,170",11.2,34%,54 : 46,
2024,401–500,Bournemouth University,"14,260",19.1,21%,53 : 47,
2024,401–500,University of Brescia,"14,615",24.2,6%,47 : 53,
