year,Rank,Name,Country,No. of FTE students,No. of students per staff,International students,Female:Male ratio
2011,177,University of Copenhagen,Denmark,,,,
2011,178,Monash University,Australia,,,,
2011,178,University of Bonn,Germany,,,,
2011,178,Humboldt University of Berlin,Germany,,,,
2011,181,National Chiao Tung University,Taiwan,,,,
2011,182,RWTH Aachen University,Germany,,,,
2011,183,Middle East Technical University,Turkey,,,,
2011,184,University of Exeter,United Kingdom,,,,
2011,185,University of Twente,Netherlands,,,,
2011,186,University of Konstanz,Germany,,,,
2011,187,Karlsruhe Institute of Technology,Germany,,,,
2011,187,University of Innsbruck,Austria,,,,
2011,189,University of Tübingen,Germany,,,,
2011,190,Yonsei University,South Korea,,,,
2011,190,University of Cincinnati – Uptown,United States,,,,
2011,190,Drexel University,United States,,,,
2011,193,Dalhousie University,Canada,,,,
2011,193,KTH Royal Institute of Technology,Sweden,,,,
2011,195,University of Vienna,Austria,,,,
2011,196,Kent State University,United States,,,,
2011,197,University of Illinois Chicago,United States,,,,
2011,197,Zhejiang University,China,,,,
2011,199,Simon Fraser University,Canada,,,,
2011,199,Swedish University of Agricultural Sciences,Sweden,,,,
