year,Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
2013,301-350,King Abdulaziz University,Saudi Arabia,-,19.7,10.3,63.4,40.2,71.0
2013,301-350,Hong Kong Baptist University,Hong Kong,-,22.9,15.1,57.6,29.6,62.0
2013,301-350,Creighton University,United States,-,42.4,9.3,61.0,-,26.0
2013,301-350,Sapienza University of Rome,Italy,-,35.3,30.6,39.1,36.0,33.2
2013,301-350,University of Vermont,United States,-,28.5,20.6,58.6,-,19.9
2013,301-350,Brunel University of London,United Kingdom,-,19.3,20.1,58.2,33.4,89.4
2013,301-350,Sun Yat-sen University,China,-,33.1,17.8,52.2,43.5,24.2
2013,301-350,Sharif University of Technology,Iran,-,32.9,42.8,34.2,93.0,16.7
2013,301-350,York University,Canada,-,20.9,30.1,50.5,41.9,50.7
2013,301-350,University of Graz,Austria,-,26.9,17.6,57.4,29.5,59.7
2013,301-350,Autonomous University of Madrid,Spain,-,32.0,24.0,51.9,34.7,45.7
2013,301-350,University of Crete,Greece,-,17.1,16.3,68.6,34.1,44.4
2013,301-350,UiT The Arctic University of Norway,Norway,-,21.7,19.4,56.4,29.1,61.8
2013,301-350,Johannes Kepler University of Linz,Austria,-,22.0,13.8,59.3,-,59.0
2013,301-350,University of Tampere,Finland,-,25.6,23.9,51.2,49.3,35.0
2013,301-350,University of Guelph,Canada,-,24.4,31.3,48.2,48.1,39.0
2013,301-350,University of Waikato,New Zealand,-,17.7,19.9,61.9,28.2,85.6
2013,301-350,National Sun Yat-Sen University,Taiwan,-,27.9,32.5,48.5,43.9,23.9
2013,301-350,Hokkaido University,Japan,-,45.1,34.2,32.3,41.3,24.9
2013,301-350,Linköping University,Sweden,-,21.1,27.0,53.3,38.0,47.7
2013,301-350,National Cheng Kung University (NCKU),Taiwan,-,33.1,40.3,30.4,99.9,22.9
2013,301-350,University of Padua,Italy,-,21.0,21.4,64.5,31.7,37.0
2013,301-350,University of Manitoba,Canada,-,31.6,32.4,44.4,43.5,38.6
2013,301-350,Claude Bernard University Lyon 1,France,-,23.6,17.1,62.6,-,50.0
2013,301-350,University of Galway,Ireland,-,22.6,19.8,51.9,41.1,69.3
2013,351-400,University of Technology Sydney,Australia,-,20.7,21.5,34.7,33.9,74.7
2013,351-400,Charles Darwin University,Australia,-,17.2,15.3,53.3,32.5,44.3
2013,351-400,University of Modena and Reggio Emilia,Italy,-,17.3,16.6,58.5,32.3,30.0
2013,351-400,University of Warsaw,Poland,-,23.2,18.4,54.0,27.9,39.8
2013,351-400,Temple University,United States,-,37.2,18.8,43.3,-,20.1
2013,351-400,University of Oklahoma,United States,-,36.8,17.8,42.9,33.9,24.2
2013,351-400,University of Vigo,Spain,-,19.4,9.5,63.7,36.6,26.9
2013,351-400,University of Surrey,United Kingdom,-,31.1,25.0,21.6,45.4,80.4
2013,351-400,Deakin University,Australia,-,20.0,22.0,47.1,30.1,68.4
2013,351-400,University of Duisburg-Essen,Germany,-,24.4,14.7,54.7,41.1,50.2
2013,351-400,University of Ferrara,Italy,-,19.2,13.0,58.5,37.7,41.4
2013,351-400,Leibniz University Hannover,Germany,-,36.6,19.1,35.1,40.3,48.2
2013,351-400,Flinders University,Australia,-,22.4,24.2,38.4,39.1,59.8
2013,351-400,George Mason University,United States,-,27.2,19.7,53.0,28.2,34.9
2013,351-400,University of Porto,Portugal,-,26.2,21.1,50.2,36.2,43.2
2013,351-400,Loughborough University,United Kingdom,-,33.4,32.7,24.7,40.7,63.9
2013,351-400,Massey University,New Zealand,-,19.2,19.2,37.6,66.0,73.3
2013,351-400,University of Hertfordshire,United Kingdom,-,13.4,9.1,63.1,28.9,77.2
2013,351-400,National Central University,Taiwan,-,25.2,26.5,38.3,84.8,27.9
2013,351-400,University of Houston,United States,-,37.5,25.0,35.0,35.7,32.6
2013,351-400,Maynooth University,Ireland,-,25.7,23.9,28.1,30.8,69.2
2013,351-400,University of KwaZulu-Natal,South Africa,-,21.9,20.2,40.0,28.5,56.2
2013,351-400,The University of Texas at San Antonio,United States,-,17.3,17.6,66.2,32.2,28.6
2013,351-400,Polytechnic University of Valencia,Spain,-,21.0,12.1,59.4,39.3,26.1
2013,351-400,"University of the Andes, Colombia",Colombia,-,15.5,11.4,68.2,28.4,53.0
2013,351-400,Jagiellonian University,Poland,-,22.7,13.8,48.2,29.5,41.7
2013,351-400,University of Salento,Italy,-,29.1,21.3,40.6,51.3,28.4
2013,351-400,National Autonomous University of Mexico,Mexico,-,31.0,31.6,24.6,36.0,33.2
2013,351-400,Keele University,United Kingdom,-,16.3,18.8,55.1,31.7,64.2
2013,351-400,University of Strathclyde,United Kingdom,-,26.3,21.6,33.0,35.8,63.0
2013,351-400,Indian Institute of Technology Roorkee,India,-,30.4,13.7,45.8,70.4,15.6
2013,351-400,Aalborg University,Denmark,-,21.7,24.9,41.0,39.0,67.2
2013,351-400,Keio University,Japan,-,32.5,28.0,39.7,43.1,22.2
2013,351-400,University of Stirling,United Kingdom,-,18.2,23.7,50.3,29.8,63.7
2013,351-400,University of Tartu,Estonia,-,18.6,27.4,52.4,30.1,42.4
2013,351-400,University of Jyväskylä,Finland,-,24.3,15.8,44.6,71.2,49.7
2013,351-400,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,-,26.8,42.5,33.1,46.8,18.8
2013,351-400,Lehigh University,United States,-,26.0,19.7,50.6,40.1,30.4
2013,351-400,Waseda University,Japan,-,28.9,21.3,37.8,30.8,32.8
2013,351-400,King Mongkut’s University of Technology Thonburi,Thailand,-,11.3,10.2,68.4,60.2,23.8
2013,351-400,University of Aveiro,Portugal,-,21.0,21.1,49.0,39.9,48.7
2013,351-400,University of Liège,Belgium,-,21.9,16.9,48.4,55.9,67.8
2013,351-400,University of Tasmania,Australia,-,19.5,17.5,47.2,44.8,68.4
2013,351-400,University of Wyoming,United States,-,18.6,24.2,47.5,30.9,28.1
2013,351-400,University of Minho,Portugal,-,17.6,19.7,51.2,32.2,44.1
2013,351-400,SUNY Binghamton University,United States,-,23.3,21.9,51.1,33.4,30.7
2013,351-400,University of Valencia,Spain,-,17.2,14.5,62.8,32.5,40.8
2013,351-400,Paris Dauphine University,France,-,22.0,12.7,50.6,29.4,57.6
2013,351-400,Heriot-Watt University,United Kingdom,-,20.7,21.4,42.1,48.4,84.2
2013,351-400,Southern Methodist University,United States,-,18.6,9.0,67.3,-,35.2
