year,Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
2013,75,Rice University,United States,62.0,49.5,39.3,100.0,36.5,59.0
2013,76,University of Pittsburgh-Pittsburgh campus,United States,61.7,54.6,55.1,85.2,39.3,29.4
2013,77,Delft University of Technology,Netherlands,61.6,59.9,75.1,45.1,99.9,67.7
2013,78,Universität Heidelberg,Germany,61.4,61.4,49.0,75.5,40.7,61.3
2013,79,Emory University,United States,61.3,56.7,44.4,90.9,38.3,36.6
2013,80,Durham University,United Kingdom,60.7,42.3,44.5,93.3,34.3,77.7
2013,81,Pierre and Marie Curie University,France,60.5,59.2,43.5,80.6,28.6,64.4
2013,82,Lund University,Sweden,60.3,43.6,61.3,77.1,34.2,64.4
2013,83,University of Amsterdam,Netherlands,60.1,45.6,61.3,75.1,49.0,57.0
2013,84,Université de Montréal,Canada,59.8,54.0,57.9,60.9,95.0,74.6
2013,85,UNSW Sydney,Australia,59.6,52.6,63.8,56.7,50.5,84.8
2013,86,"Nanyang Technological University, Singapore",Singapore,59.4,45.7,66.9,54.5,99.5,90.5
2013,87,Tufts University,United States,59.1,52.6,36.4,94.8,39.4,39.6
2013,88,McMaster University,Canada,59.0,42.3,47.9,81.7,98.0,66.9
2013,89,University of Groningen,Netherlands,58.8,43.8,61.0,71.6,85.2,49.8
2013,89,University of Zurich,Switzerland,58.8,50.0,41.6,80.0,38.3,84.1
2013,91,University of Colorado Boulder,United States,58.7,42.3,44.4,97.1,-,34.7
2013,92,Paris-Sud University,France,58.6,48.0,45.9,82.9,28.4,63.9
2013,93,Ghent University,Belgium,58.4,46.4,56.7,71.3,95.9,49.1
2013,94,University of Notre Dame,United States,58.3,48.3,39.6,93.5,29.8,41.6
2013,94,Michigan State University,United States,58.3,51.8,56.8,73.8,32.6,36.8
2013,96,"University of California, Irvine",United States,58.2,44.0,47.2,90.3,42.1,35.2
2013,97,"University of Maryland, College Park",United States,57.9,44.9,51.4,83.9,32.1,40.4
2013,98,University of Arizona,United States,57.7,47.0,53.7,76.9,83.9,31.3
2013,99,Humboldt University of Berlin,Germany,57.5,55.4,58.7,59.5,-,57.5
2013,99,Monash University,Australia,57.5,47.8,60.6,60.9,70.0,66.4
2013,99,Rutgers University–New Brunswick,United States,57.5,50.9,61.3,69.5,35.8,27.9
2013,102,University of Rochester,United States,57.2,46.0,37.8,92.3,39.6,45.9
2013,103,University of York,United Kingdom,57.1,41.9,43.9,83.4,38.4,71.9
2013,104,Case Western Reserve University,United States,56.9,56.5,42.0,80.4,-,34.2
2013,105,Technical University of Munich,Germany,56.8,51.2,42.4,76.5,49.7,61.5
2013,106,Uppsala University,Sweden,56.6,48.6,63.9,58.2,44.1,56.3
2013,106,Vanderbilt University,United States,56.6,51.5,40.9,85.0,53.0,27.5
2013,108,University of St Andrews,United Kingdom,56.5,43.2,43.8,76.6,38.9,86.3
2013,109,University of Helsinki,Finland,56.4,42.8,53.0,77.7,31.1,48.3
2013,110,University of Sussex,United Kingdom,56.2,34.9,39.5,91.1,32.1,76.7
2013,110,Trinity College Dublin,Ireland,56.2,41.9,33.5,88.1,32.8,84.5
2013,110,University of Sheffield,United Kingdom,56.2,49.5,46.2,71.0,41.5,68.1
2013,113,University of Cape Town,South Africa,55.8,34.7,45.5,79.7,87.3,75.1
2013,114,Eindhoven University of Technology,Netherlands,55.6,44.1,51.8,63.8,100.0,69.8
2013,115,Maastricht University,Netherlands,55.5,39.7,53.2,62.5,99.1,85.2
2013,116,Aarhus University,Denmark,55.3,35.7,54.6,71.6,69.7,66.4
2013,117,Stockholm University,Sweden,55.2,31.3,43.8,93.0,32.0,52.2
2013,118,University of Virginia (Main campus),United States,55.0,55.9,43.0,73.5,48.6,27.9
2013,119,"Royal Holloway, University of London",United Kingdom,54.9,30.5,27.7,99.0,31.9,92.5
2013,120,University of Nottingham,United Kingdom,54.8,48.1,50.8,62.8,38.3,70.1
2013,121,University of Alberta,Canada,54.7,50.9,53.9,56.6,50.6,67.6
2013,122,University of Florida,United States,54.5,52.0,62.9,56.0,-,31.2
2013,122,"University of California, Santa Cruz",United States,54.5,32.1,39.6,99.9,-,32.5
2013,124,Dartmouth College,United States,54.4,47.5,35.9,87.0,38.6,31.5
2013,124,University of Warwick,United Kingdom,54.4,48.9,50.5,58.8,35.3,80.9
2013,124,The Chinese University of Hong Kong,Hong Kong,54.4,53.7,63.1,45.1,44.5,62.6
2013,127,Radboud University Nijmegen,Netherlands,54.0,35.7,54.3,73.3,41.7,53.4
2013,128,Tokyo Institute of Technology,Japan,53.7,58.0,56.1,52.0,65.3,29.6
2013,128,Free University of Berlin,Germany,53.7,53.1,56.5,51.5,32.8,60.9
2013,130,University of Southampton,United Kingdom,53.6,37.9,38.9,79.2,41.8,77.4
2013,130,University of Lausanne,Switzerland,53.6,33.0,44.8,76.2,45.8,82.7
2013,130,University of Copenhagen,Denmark,53.6,42.2,40.4,74.3,39.7,73.5
2013,133,University of Geneva,Switzerland,53.5,36.2,42.5,73.1,32.4,95.3
2013,134,University of Utah,United States,53.2,43.3,41.3,81.0,63.3,25.2
2013,134,National Taiwan University (NTU),Taiwan,53.2,56.4,65.7,45.5,44.0,24.6
2013,134,Indiana University,United States,53.2,48.3,44.2,72.5,-,36.0
2013,137,Tohoku University,Japan,53.1,57.7,55.6,48.9,80.7,32.0
2013,137,Hebrew University of Jerusalem,Israel,53.1,48.8,55.8,57.0,33.6,50.3
2013,139,University of Glasgow,United Kingdom,53.0,37.3,40.2,78.1,44.1,69.7
