year,Rank,Name,No. of FTE students,No. of students per staff,International students,Female:Male ratio,rank_prefix
2018,1,University of Oxford,"20,410",11.2,38%,46 : 54,
2018,2,University of Cambridge,"18,390",10.9,35%,45 : 55,
2018,3,California Institute of Technology,"2,209",6.5,27%,31 : 69,=
2018,3,Stanford University,"15,845",7.5,22%,42 : 58,=
2018,5,Massachusetts Institute of Technology,"11,177",8.7,34%,37 : 63,
2018,6,Harvard University,"20,326",8.9,26%,,
2018,7,Princeton University,"7,955",8.3,24%,45 : 55,
2018,8,Imperial College London,"15,855",11.4,55%,37 : 63,
2018,9,The University of Chicago,"13,525",6.2,25%,44 : 56,
2018,10,ETH Zurich,"19,233",14.6,38%,31 : 69,=
2018,10,University of Pennsylvania,"20,361",6.5,20%,50 : 50,=
2018,12,Yale University,"12,155",4.3,21%,49 : 51,
2018,13,Johns Hopkins University,"15,498",4.3,24%,52 : 48,
2018,14,Columbia University,"26,587",6.1,32%,,
2018,15,"University of California, Los Angeles","39,279",9.6,17%,53 : 47,
2018,16,UCL,"30,305",10.5,49%,56 : 44,
2018,17,Duke University,"15,256",4.5,22%,49 : 51,
2018,18,"University of California, Berkeley","36,182",13.1,17%,52 : 48,
2018,19,Cornell University,"21,850",9.8,24%,49 : 51,
2018,20,Northwestern University,"17,466",12.8,18%,48 : 52,
2018,21,University of Michigan-Ann Arbor,"41,818",8.6,16%,48 : 52,
2018,22,National University of Singapore,"30,602",17.0,30%,51 : 49,=
2018,22,University of Toronto,"69,427",18.7,17%,,=
2018,24,Carnegie Mellon University,"12,676",13.5,45%,39 : 61,
2018,25,London School of Economics and Political Science,"10,065",12.1,71%,52 : 48,=
2018,25,University of Washington,"44,945",11.4,16%,52 : 48,=
2018,27,University of Edinburgh,"26,760",12.4,40%,59 : 41,=
2018,27,New York University,"43,860",9.6,26%,56 : 44,=
2018,27,Peking University,"42,136",8.9,16%,47 : 53,=
2018,30,Tsinghua University,"42,089",13.7,9%,32 : 68,
2018,31,"University of California, San Diego","29,633",12.8,17%,46 : 54,
2018,32,University of Melbourne,"42,116",26.6,40%,55 : 45,
2018,33,Georgia Institute of Technology,"20,773",20.7,27%,31 : 69,
2018,34,University of British Columbia,"51,889",18.1,29%,54 : 46,=
2018,34,LMU Munich,"36,091",15.6,15%,61 : 39,=
