year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook,rank_prefix
2023,1,University of Oxford,96.4,92.3,99.7,99.0,74.9,96.2,
2023,2,Harvard University,95.2,94.8,99.0,99.3,49.5,80.5,
2023,3,University of Cambridge,94.8,90.9,99.5,97.0,54.2,95.8,=
2023,3,Stanford University,94.8,94.2,96.7,99.8,65.0,79.8,=
2023,5,Massachusetts Institute of Technology,94.2,90.7,93.6,99.8,90.9,89.3,
2023,6,California Institute of Technology,94.1,90.9,97.0,97.3,89.8,83.6,
2023,7,Princeton University,92.4,87.6,95.9,99.1,66.0,80.3,
2023,8,"University of California, Berkeley",92.1,86.4,95.8,99.0,76.8,78.4,
2023,9,Yale University,91.4,92.6,92.7,97.0,55.0,70.9,
2023,10,Imperial College London,90.4,82.8,90.8,98.3,59.8,97.5,
2023,11,Columbia University,89.4,89.4,87.7,97.1,44.8,79.9,=
2023,11,ETH Zurich,89.4,82.6,95.4,90.7,59.1,97.7,=
2023,13,The University of Chicago,88.9,86.5,88.8,97.7,56.2,74.2,
2023,14,University of Pennsylvania,88.8,86.0,88.8,97.0,75.8,71.5,
2023,15,Johns Hopkins University,88.3,79.4,91.5,97.0,89.5,75.3,
2023,16,Tsinghua University,88.2,90.1,97.4,88.0,100.0,40.3,
2023,17,Peking University,88.1,92.5,96.7,80.4,91.8,65.0,
2023,18,University of Toronto,87.4,77.3,93.3,92.8,65.5,89.7,
2023,19,National University of Singapore,87.1,76.4,93.0,90.2,87.0,94.0,
2023,20,Cornell University,85.9,80.2,86.1,97.3,40.4,76.9,
2023,21,"University of California, Los Angeles",85.8,80.4,88.9,95.4,58.8,65.0,
2023,22,UCL,85.7,74.5,85.4,97.9,44.5,96.7,
2023,23,University of Michigan-Ann Arbor,82.9,79.3,84.6,93.6,48.7,59.2,
2023,24,New York University,82.7,74.2,84.0,95.0,44.6,74.7,
2023,25,Duke University,82.6,78.1,76.2,95.7,99.6,68.0,
2023,26,Northwestern University,82.1,71.7,80.7,97.5,85.0,67.0,=
2023,26,University of Washington,82.1,71.6,82.8,98.9,53.9,63.0,=
2023,28,Carnegie Mellon University,81.1,65.4,81.8,98.7,55.2,80.1,
2023,29,University of Edinburgh,79.8,66.9,74.5,97.1,40.9,95.6,
2023,30,Technical University of Munich,79.3,69.8,82.2,84.5,100.0,77.7,
2023,31,University of Hong Kong,78.5,65.6,74.1,92.4,60.6,98.7,
2023,32,"University of California, San Diego",78.1,60.2,77.2,98.2,93.0,67.8,
2023,33,LMU Munich,77.7,67.3,78.3,87.4,100.0,70.5,
2023,34,University of Melbourne,77.6,67.1,75.9,85.8,78.1,93.6,
2023,35,King’s College London,77.1,58.0,72.9,98.2,45.6,96.1,
2023,36,"Nanyang Technological University, Singapore",77.0,60.9,77.9,87.2,84.5,94.5,
2023,37,London School of Economics and Political Science,76.5,59.2,74.3,95.1,37.8,92.8,
2023,38,Georgia Institute of Technology,76.0,60.2,75.9,91.4,64.9,81.2,
2023,39,The University of Tokyo,75.9,88.1,91.4,55.5,86.7,43.3,
2023,40,University of British Columbia,75.7,62.9,73.1,88.8,47.9,94.8,
2023,41,École Polytechnique Fédérale de Lausanne,75.4,65.6,70.7,84.5,71.7,98.0,
2023,42,KU Leuven,74.6,59.7,74.9,86.7,99.2,76.8,
2023,43,Universität Heidelberg,74.1,67.2,61.5,96.0,55.7,71.2,
2023,44,Monash University,73.6,56.9,68.7,90.4,78.4,91.0,
2023,45,The Chinese University of Hong Kong,73.2,59.1,61.1,95.7,60.9,92.5,
2023,46,McGill University,73.0,62.0,72.4,82.5,43.5,91.0,
