year,Rank,Name,Country,No. of FTE students,No. of students per staff,International students,Female:Male ratio
2013,69,Purdue University West Lafayette,United States,,,,
2013,70,University of Göttingen,Germany,,,,
2013,70,Wageningen University & Research,Netherlands,,,,
2013,72,Erasmus University Rotterdam,Netherlands,,,,
2013,72,University of Massachusetts,United States,,,,
2013,74,University of Bristol,United Kingdom,,,,
2013,75,Rice University,United States,,,,
2013,76,University of Pittsburgh-Pittsburgh campus,United States,,,,
2013,77,Delft University of Technology,Netherlands,,,,
2013,78,Universität Heidelberg,Germany,,,,
2013,79,Emory University,United States,,,,
2013,80,Durham University,United Kingdom,,,,
2013,81,Pierre and Marie Curie University,France,,,,
2013,82,Lund University,Sweden,,,,
2013,83,University of Amsterdam,Netherlands,,,,
2013,84,Université de Montréal,Canada,,,,
2013,85,UNSW Sydney,Australia,,,,
2013,86,"Nanyang Technological University, Singapore",Singapore,,,,
2013,87,Tufts University,United States,,,,
2013,88,McMaster University,Canada,,,,
2013,89,University of Groningen,Netherlands,,,,
2013,89,University of Zurich,Switzerland,,,,
2013,91,University of Colorado Boulder,United States,,,,
2013,92,Paris-Sud University,France,,,,
2013,93,Ghent University,Belgium,,,,
2013,94,University of Notre Dame,United States,,,,
2013,94,Michigan State University,United States,,,,
2013,96,"University of California, Irvine",United States,,,,
2013,97,"University of Maryland, College Park",United States,,,,
2013,98,University of Arizona,United States,,,,
2013,99,Humboldt University of Berlin,Germany,,,,
2013,99,Monash University,Australia,,,,
2013,99,Rutgers University–New Brunswick,United States,,,,
2013,102,University of Rochester,United States,,,,
2013,103,University of York,United Kingdom,,,,
2013,104,Case Western Reserve University,United States,,,,
2013,105,Technical University of Munich,Germany,,,,
2013,106,Uppsala University,Sweden,,,,
2013,106,Vanderbilt University,United States,,,,
2013,108,University of St Andrews,United Kingdom,,,,
2013,109,University of Helsinki,Finland,,,,
2013,110,University of Sussex,United Kingdom,,,,
2013,110,Trinity College Dublin,Ireland,,,,
2013,110,University of Sheffield,United Kingdom,,,,
2013,113,University of Cape Town,South Africa,,,,
2013,114,Eindhoven University of Technology,Netherlands,,,,
2013,115,Maastricht University,Netherlands,,,,
2013,116,Aarhus University,Denmark,,,,
2013,117,Stockholm University,Sweden,,,,
2013,118,University of Virginia (Main campus),United States,,,,
2013,119,"Royal Holloway, University of London",United Kingdom,,,,
2013,120,University of Nottingham,United Kingdom,,,,
2013,121,University of Alberta,Canada,,,,
2013,122,University of Florida,United States,,,,
2013,122,"University of California, Santa Cruz",United States,,,,
2013,124,Dartmouth College,United States,,,,
2013,124,University of Warwick,United Kingdom,,,,
2013,124,The Chinese University of Hong Kong,Hong Kong,,,,
2013,127,Radboud University Nijmegen,Netherlands,,,,
2013,128,Tokyo Institute of Technology,Japan,,,,
2013,128,Free University of Berlin,Germany,,,,
2013,130,University of Southampton,United Kingdom,,,,
2013,130,University of Lausanne,Switzerland,,,,
2013,130,University of Copenhagen,Denmark,,,,
2013,133,University of Geneva,Switzerland,,,,
2013,134,University of Utah,United States,,,,
2013,134,National Taiwan University (NTU),Taiwan,,,,
2013,134,Indiana University,United States,,,,
2013,137,Tohoku University,Japan,,,,
2013,137,Hebrew University of Jerusalem,Israel,,,,
2013,139,University of Glasgow,United Kingdom,,,,
2013,140,KTH Royal Institute of Technology,Sweden,,,,
2013,140,Vrije Universiteit Amsterdam,Netherlands,,,,
2013,142,University of Basel,Switzerland,,,,
2013,142,University of Leeds,United Kingdom,,,,
2013,144,University of Freiburg,Germany,,,,
2013,145,Queen Mary University of London,United Kingdom,,,,
2013,145,Lancaster University,United Kingdom,,,,
2013,147,The University of Osaka,Japan,,,,
2013,148,Arizona State University (Tempe),United States,,,,
2013,149,Technical University of Denmark,Denmark,,,,
2013,150,Boston College,United States,,,,
2013,151,University of Bern,Switzerland,,,,
2013,151,Karlsruhe Institute of Technology,Germany,,,,
2013,153,University of Exeter,United Kingdom,,,,
2013,154,"University of California, Riverside",United States,,,,
2013,154,RWTH Aachen University,Germany,,,,
2013,156,Texas A&M University,United States,,,,
2013,156,Yeshiva University,United States,,,,
2013,158,Tel Aviv University,Israel,,,,
2013,158,University of Birmingham,United Kingdom,,,,
2013,158,University of São Paulo,Brazil,,,,
2013,161,University of Auckland,New Zealand,,,,
2013,162,Stony Brook University,United States,,,,
2013,162,University of Vienna,Austria,,,,
2013,164,Université Catholique de Louvain,Belgium,,,,
2013,165,University of Delaware,United States,,,,
2013,166,Paris Diderot University – Paris 7,France,,,,
2013,167,University of Texas at Dallas,United States,,,,
2013,168,George Washington University,United States,,,,
2013,169,University of Iowa,United States,,,,
2013,170,École Normale Supérieure de Lyon,France,,,,
2013,171,University of Ottawa,Canada,,,,
2013,171,University of Liverpool,United Kingdom,,,,
2013,171,University of Bonn,Germany,,,,
2013,174,Rensselaer Polytechnic Institute,United States,,,,
2013,174,Georgetown University,United States,,,,
2013,176,University of East Anglia,United Kingdom,,,,
2013,176,University of Aberdeen,United Kingdom,,,,
2013,176,University of Reading,United Kingdom,,,,
2013,176,University of Adelaide,Australia,,,,
2013,180,Joseph Fourier University,France,,,,
2013,180,Newcastle University,United Kingdom,,,,
2013,182,City University of Hong Kong,Hong Kong,,,,
2013,183,Yonsei University,South Korea,,,,
2013,184,University of Illinois Chicago,United States,,,,
2013,184,William & Mary,United States,,,,
2013,184,Colorado School of Mines,United States,,,,
2013,187,University College Dublin,Ireland,,,,
2013,187,University of Twente,Netherlands,,,,
2013,189,Medical University of South Carolina,United States,,,,
2013,190,The University of Western Australia,Australia,,,,
2013,190,Wake Forest University,United States,,,,
2013,192,University of Antwerp,Belgium,,,,
2013,193,University of Miami,United States,,,,
2013,193,Technion Israel Institute of Technology,Israel,,,,
2013,193,Iowa State University,United States,,,,
2013,196,University of Victoria,Canada,,,,
2013,196,University of Leicester,United Kingdom,,,,
2013,198,University at Buffalo,United States,,,,
2013,199,Goethe University Frankfurt,Germany,,,,
2013,200,"Birkbeck, University of London",United Kingdom,,,,
2013,201-225,Pompeu Fabra University,Spain,,,,
2013,201-225,University of Erlangen-Nuremberg,Germany,,,,
2013,201-225,Cardiff University,United Kingdom,,,,
2013,201-225,Johannes Gutenberg University of Mainz,Germany,,,,
2013,201-225,University of Tübingen,Germany,,,,
2013,201-225,Tilburg University,Netherlands,,,,
2013,201-225,Lomonosov Moscow State University,Russian Federation,,,,
2013,201-225,"St George’s, University of London",United Kingdom,,,,
2013,201-225,Middle East Technical University,Turkey,,,,
2013,201-225,University of Georgia (USA),United States,,,,
2013,201-225,University of Gothenburg,Sweden,,,,
2013,201-225,Brandeis University,United States,,,,
2013,201-225,Queen’s University,Canada,,,,
2013,201-225,University of Science and Technology of China,China,,,,
2013,201-225,University of Innsbruck,Austria,,,,
2013,201-225,Nagoya University,Japan,,,,
2013,201-225,University of Konstanz,Germany,,,,
2013,201-225,University of Dundee,United Kingdom,,,,
2013,201-225,"Northeastern University, US",United States,,,,
2013,201-225,Fudan University,China,,,,
2013,201-225,Universitat Autònoma de Barcelona (UAB),Spain,,,,
2013,201-225,University of Strasbourg,France,,,,
2013,201-225,University of Barcelona,Spain,,,,
2013,201-225,Sungkyunkwan University (SKKU),South Korea,,,,
2013,201-225,University of Oslo,Norway,,,,
2013,226-250,Université Libre de Bruxelles,Belgium,,,,
2013,226-250,Western University,Canada,,,,
2013,226-250,Simon Fraser University,Canada,,,,
2013,226-250,University of Würzburg,Germany,,,,
2013,226-250,Florida Institute of Technology,United States,,,,
2013,226-250,Koç University,Turkey,,,,
2013,226-250,University of Cincinnati – Uptown,United States,,,,
2013,226-250,University of Calgary,Canada,,,,
2013,226-250,Carleton University,Canada,,,,
2013,226-250,Indian Institute of Technology Kharagpur,India,,,,
2013,226-250,Chalmers University of Technology,Sweden,,,,
2013,226-250,Université Laval,Canada,,,,
2013,226-250,University of Bergen,Norway,,,,
2013,226-250,Mines ParisTech,France,,,,
2013,226-250,University of the Witwatersrand,South Africa,,,,
2013,226-250,National Research Nuclear University MEPhI,Russian Federation,,,,
2013,226-250,National Tsing Hua University,Taiwan,,,,
2013,226-250,University of South Florida (Tampa),United States,,,,
2013,226-250,Georgia Health Sciences University,United States,,,,
2013,226-250,Technical University of Darmstadt,Germany,,,,
2013,226-250,Mizzou - University of Missouri,United States,,,,
2013,226-250,Tulane University,United States,,,,
2013,226-250,Bilkent University,Turkey,,,,
2013,226-250,University of Otago,New Zealand,,,,
2013,226-250,University of Waterloo,Canada,,,,
2013,226-250,Korea University,South Korea,,,,
2013,251-275,The Hong Kong Polytechnic University,Hong Kong,,,,
2013,251-275,Macquarie University,Australia,,,,
2013,251-275,Tokyo Metropolitan University,Japan,,,,
2013,251-275,Stellenbosch University,South Africa,,,,
2013,251-275,University of Trieste,Italy,,,,
2013,251-275,Victoria University of Wellington,New Zealand,,,,
2013,251-275,University of Münster,Germany,,,,
2013,251-275,University of Campinas,Brazil,,,,
2013,251-275,Queensland University of Technology,Australia,,,,
2013,251-275,Dalhousie University,Canada,,,,
2013,251-275,Indian Institute of Technology Bombay,India,,,,
2013,251-275,University of Connecticut,United States,,,,
2013,251-275,University of Oregon,United States,,,,
2013,251-275,University of Milan,Italy,,,,
2013,251-275,University of Kiel,Germany,,,,
2013,251-275,University of Milan-Bicocca,Italy,,,,
2013,251-275,Aalto University,Finland,,,,
2013,251-275,Nanjing University,China,,,,
2013,251-275,University of Essex,United Kingdom,,,,
2013,251-275,National Chiao Tung University,Taiwan,,,,
2013,251-275,Umeå University,Sweden,,,,
2013,251-275,Norwegian University of Science and Technology,Norway,,,,
2013,251-275,University of Iceland,Iceland,,,,
2013,251-275,TU Wien,Austria,,,,
2013,276-300,Queen’s University Belfast,United Kingdom,,,,
2013,276-300,Istanbul Technical University,Turkey,,,,
2013,276-300,University of Southern Denmark,Denmark,,,,
2013,276-300,University of Kansas,United States,,,,
2013,276-300,University of Newcastle,Australia,,,,
2013,276-300,University of Bologna,Italy,,,,
2013,276-300,Swedish University of Agricultural Sciences,Sweden,,,,
2013,276-300,Bielefeld University,Germany,,,,
2013,276-300,Bangor University,United Kingdom,,,,
2013,276-300,Virginia Polytechnic Institute and State University,United States,,,,
2013,276-300,Montpellier University,France,,,,
2013,276-300,"Colorado State University, Fort Collins",United States,,,,
2013,276-300,University of Bath,United Kingdom,,,,
2013,276-300,Ruhr University Bochum,Germany,,,,
2013,276-300,Aberystwyth University,United Kingdom,,,,
2013,276-300,Shanghai Jiao Tong University,China,,,,
2013,276-300,Drexel University,United States,,,,
2013,276-300,TU Dresden,Germany,,,,
2013,276-300,Tokyo Medical and Dental University (TMDU),Japan,,,,
2013,276-300,University of Trento,Italy,,,,
2013,276-300,University of Bayreuth,Germany,,,,
2013,276-300,University of South Carolina-Columbia,United States,,,,
2013,276-300,University of Montana,United States,,,,
2013,276-300,Oregon State University,United States,,,,
2013,276-300,University of Turin,Italy,,,,
2013,276-300,Boğaziçi University,Turkey,,,,
2013,301-350,University of Canterbury,New Zealand,,,,
2013,301-350,"University of Maryland, Baltimore County",United States,,,,
2013,301-350,Vrije Universiteit Brussel,Belgium,,,,
2013,301-350,University of Fribourg,Switzerland,,,,
2013,301-350,University of South Australia,Australia,,,,
2013,301-350,SUNY University at Albany,United States,,,,
2013,301-350,Medical University of Vienna,Austria,,,,
2013,301-350,University of Kentucky,United States,,,,
2013,301-350,University College Cork,Ireland,,,,
2013,301-350,Washington State University,United States,,,,
2013,301-350,Murdoch University,Australia,,,,
2013,301-350,University of Eastern Finland,Finland,,,,
2013,301-350,University of Pisa,Italy,,,,
2013,301-350,Zhejiang University,China,,,,
2013,301-350,North Carolina State University,United States,,,,
2013,301-350,University of Tsukuba,Japan,,,,
2013,301-350,Politecnico di Milano,Italy,,,,
2013,301-350,University of Pavia,Italy,,,,
2013,301-350,Kyushu University,Japan,,,,
2013,301-350,University of Portsmouth,United Kingdom,,,,
2013,301-350,University of Wollongong,Australia,,,,
2013,301-350,Wayne State University,United States,,,,
2013,301-350,Charles University,Czechia,,,,
2013,301-350,Renmin University of China,China,,,,
2013,301-350,King Abdulaziz University,Saudi Arabia,,,,
2013,301-350,Hong Kong Baptist University,Hong Kong,,,,
2013,301-350,Creighton University,United States,,,,
2013,301-350,Sapienza University of Rome,Italy,,,,
2013,301-350,University of Vermont,United States,,,,
2013,301-350,Brunel University of London,United Kingdom,,,,
2013,301-350,Sun Yat-sen University,China,,,,
2013,301-350,Sharif University of Technology,Iran,,,,
2013,301-350,York University,Canada,,,,
2013,301-350,University of Graz,Austria,,,,
2013,301-350,Autonomous University of Madrid,Spain,,,,
2013,301-350,University of Crete,Greece,,,,
2013,301-350,UiT The Arctic University of Norway,Norway,,,,
2013,301-350,Johannes Kepler University of Linz,Austria,,,,
2013,301-350,University of Tampere,Finland,,,,
2013,301-350,University of Guelph,Canada,,,,
2013,301-350,University of Waikato,New Zealand,,,,
2013,301-350,National Sun Yat-Sen University,Taiwan,,,,
2013,301-350,Hokkaido University,Japan,,,,
2013,301-350,Linköping University,Sweden,,,,
2013,301-350,National Cheng Kung University (NCKU),Taiwan,,,,
2013,301-350,University of Padua,Italy,,,,
2013,301-350,University of Manitoba,Canada,,,,
2013,301-350,Claude Bernard University Lyon 1,France,,,,
2013,301-350,University of Galway,Ireland,,,,
2013,351-400,University of Technology Sydney,Australia,,,,
2013,351-400,Charles Darwin University,Australia,,,,
2013,351-400,University of Modena and Reggio Emilia,Italy,,,,
2013,351-400,University of Warsaw,Poland,,,,
2013,351-400,Temple University,United States,,,,
2013,351-400,University of Oklahoma,United States,,,,
2013,351-400,University of Vigo,Spain,,,,
2013,351-400,University of Surrey,United Kingdom,,,,
2013,351-400,Deakin University,Australia,,,,
2013,351-400,University of Duisburg-Essen,Germany,,,,
2013,351-400,University of Ferrara,Italy,,,,
2013,351-400,Leibniz University Hannover,Germany,,,,
2013,351-400,Flinders University,Australia,,,,
2013,351-400,George Mason University,United States,,,,
2013,351-400,University of Porto,Portugal,,,,
2013,351-400,Loughborough University,United Kingdom,,,,
2013,351-400,Massey University,New Zealand,,,,
2013,351-400,University of Hertfordshire,United Kingdom,,,,
2013,351-400,National Central University,Taiwan,,,,
2013,351-400,University of Houston,United States,,,,
2013,351-400,Maynooth University,Ireland,,,,
2013,351-400,University of KwaZulu-Natal,South Africa,,,,
2013,351-400,The University of Texas at San Antonio,United States,,,,
2013,351-400,Polytechnic University of Valencia,Spain,,,,
2013,351-400,"University of the Andes, Colombia",Colombia,,,,
2013,351-400,Jagiellonian University,Poland,,,,
2013,351-400,University of Salento,Italy,,,,
2013,351-400,National Autonomous University of Mexico,Mexico,,,,
2013,351-400,Keele University,United Kingdom,,,,
2013,351-400,University of Strathclyde,United Kingdom,,,,
2013,351-400,Indian Institute of Technology Roorkee,India,,,,
2013,351-400,Aalborg University,Denmark,,,,
2013,351-400,Keio University,Japan,,,,
2013,351-400,University of Stirling,United Kingdom,,,,
2013,351-400,University of Tartu,Estonia,,,,
2013,351-400,University of Jyväskylä,Finland,,,,
2013,351-400,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,,,,
2013,351-400,Lehigh University,United States,,,,
2013,351-400,Waseda University,Japan,,,,
2013,351-400,King Mongkut’s University of Technology Thonburi,Thailand,,,,
2013,351-400,University of Aveiro,Portugal,,,,
2013,351-400,University of Liège,Belgium,,,,
2013,351-400,University of Tasmania,Australia,,,,
2013,351-400,University of Wyoming,United States,,,,
2013,351-400,University of Minho,Portugal,,,,
2013,351-400,SUNY Binghamton University,United States,,,,
2013,351-400,University of Valencia,Spain,,,,
2013,351-400,Paris Dauphine University,France,,,,
2013,351-400,Heriot-Watt University,United Kingdom,,,,
2013,351-400,Southern Methodist University,United States,,,,
