year,Rank,Name,Country,No. of FTE students,No. of students per staff,International students,Female:Male ratio
2013,1,California Institute of Technology,United States,,,,
2013,2,Stanford University,United States,,,,
2013,2,University of Oxford,United Kingdom,,,,
2013,4,Harvard University,United States,,,,
2013,5,Massachusetts Institute of Technology,United States,,,,
2013,6,Princeton University,United States,,,,
2013,7,University of Cambridge,United Kingdom,,,,
2013,8,Imperial College London,United Kingdom,,,,
2013,9,"University of California, Berkeley",United States,,,,
2013,10,The University of Chicago,United States,,,,
2013,11,Yale University,United States,,,,
2013,12,ETH Zurich,Switzerland,,,,
2013,13,"University of California, Los Angeles",United States,,,,
2013,14,Columbia University,United States,,,,
2013,15,University of Pennsylvania,United States,,,,
2013,16,Johns Hopkins University,United States,,,,
2013,17,UCL,United Kingdom,,,,
2013,18,Cornell University,United States,,,,
2013,19,Northwestern University,United States,,,,
2013,20,University of Michigan-Ann Arbor,United States,,,,
2013,21,University of Toronto,Canada,,,,
2013,22,Carnegie Mellon University,United States,,,,
2013,23,Duke University,United States,,,,
2013,24,University of Washington,United States,,,,
2013,25,University of Texas at Austin,United States,,,,
2013,25,Georgia Institute of Technology,United States,,,,
2013,27,The University of Tokyo,Japan,,,,
2013,28,University of Melbourne,Australia,,,,
2013,29,National University of Singapore,Singapore,,,,
2013,30,University of British Columbia,Canada,,,,
2013,31,University of Wisconsin-Madison,United States,,,,
2013,32,University of Edinburgh,United Kingdom,,,,
2013,33,University of Illinois at Urbana-Champaign,United States,,,,
2013,34,McGill University,Canada,,,,
2013,35,"University of California, Santa Barbara",United States,,,,
2013,35,University of Hong Kong,Hong Kong,,,,
2013,37,Australian National University,Australia,,,,
2013,38,"University of California, San Diego",United States,,,,
2013,39,London School of Economics and Political Science,United Kingdom,,,,
2013,40,École Polytechnique Fédérale de Lausanne,Switzerland,,,,
2013,41,New York University,United States,,,,
2013,42,Karolinska Institute,Sweden,,,,
2013,42,University of North Carolina at Chapel Hill,United States,,,,
2013,44,"University of California, Davis",United States,,,,
2013,44,Washington University in St Louis,United States,,,,
2013,46,Peking University,China,,,,
2013,47,University of Minnesota,United States,,,,
2013,48,LMU Munich,Germany,,,,
2013,49,University of Manchester,United Kingdom,,,,
2013,50,Pohang University of Science and Technology (POSTECH),South Korea,,,,
2013,51,Brown University,United States,,,,
2013,52,Tsinghua University,China,,,,
2013,53,Ohio State University (Main campus),United States,,,,
2013,54,Kyoto University,Japan,,,,
2013,54,Boston University,United States,,,,
2013,56,University of Southern California,United States,,,,
2013,57,King’s College London,United Kingdom,,,,
2013,58,KU Leuven,Belgium,,,,
2013,59,Seoul National University,South Korea,,,,
2013,59,École Normale Supérieure,France,,,,
2013,61,Penn State (Main campus),United States,,,,
2013,62,The University of Sydney,Australia,,,,
2013,62,École Polytechnique – Institut Polytechnique de Paris,France,,,,
2013,64,Leiden University,Netherlands,,,,
2013,65,The University of Queensland,Australia,,,,
2013,65,The Hong Kong University of Science and Technology,Hong Kong,,,,
2013,67,Utrecht University,Netherlands,,,,
2013,68,Korea Advanced Institute of Science and Technology (KAIST),South Korea,,,,
