year,Rank,Name,No. of FTE students,No. of students per staff,International students,Female:Male ratio,rank_prefix
2019,1,University of Oxford,"20,300",11.0,40%,46 : 54,
2019,2,University of Cambridge,"18,750",10.9,37%,46 : 54,
2019,3,Stanford University,"15,878",7.4,23%,43 : 57,
2019,4,Massachusetts Institute of Technology,"11,231",8.7,34%,38 : 62,
2019,5,California Institute of Technology,"2,255",6.5,29%,33 : 67,
2019,6,Harvard University,"20,595",9.1,26%,48 : 52,
2019,7,Princeton University,"7,996",8.2,24%,45 : 55,
2019,8,Yale University,"12,318",5.2,20%,50 : 50,
2019,9,Imperial College London,"16,425",11.6,56%,38 : 62,
2019,10,The University of Chicago,"13,562",6.1,25%,44 : 56,
2019,11,ETH Zurich,"18,171",12.3,39%,31 : 69,
2019,12,Johns Hopkins University,"16,146",4.6,25%,52 : 48,=
2019,12,University of Pennsylvania,"20,443",6.4,20%,52 : 48,=
2019,14,UCL,"31,695",10.6,51%,57 : 43,
2019,15,"University of California, Berkeley","36,468",13.2,17%,51 : 49,
2019,16,Columbia University,"26,586",6.0,37%,,
2019,17,"University of California, Los Angeles","39,464",9.2,17%,53 : 47,
2019,18,Duke University,"15,037",4.4,18%,48 : 52,
2019,19,Cornell University,"21,904",9.8,25%,49 : 51,
2019,20,University of Michigan-Ann Arbor,"41,831",8.3,17%,48 : 52,
2019,21,University of Toronto,"72,202",19.0,19%,,
2019,22,Tsinghua University,"36,912",11.9,11%,34 : 66,
2019,23,National University of Singapore,"30,727",17.4,28%,50 : 50,
2019,24,Carnegie Mellon University,"13,033",13.3,47%,40 : 60,
2019,25,Northwestern University,"17,600",13.0,19%,48 : 52,
2019,26,London School of Economics and Political Science,"10,030",11.8,70%,52 : 48,
2019,27,New York University,"44,433",8.9,32%,56 : 44,
2019,28,University of Washington,"45,476",11.3,16%,53 : 47,
2019,29,University of Edinburgh,"28,155",12.7,41%,60 : 40,
2019,30,"University of California, San Diego","31,687",12.9,20%,46 : 54,
2019,31,Peking University,"42,547",8.9,17%,48 : 52,
2019,32,LMU Munich,"35,389",36.0,16%,61 : 39,=
2019,32,University of Melbourne,"45,030",26.6,42%,56 : 44,=
