year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook,rank_prefix
2021,1,University of Oxford,95.6,91.3,99.6,98.0,68.7,96.4,
2021,2,Stanford University,94.9,92.2,96.7,99.9,90.1,79.5,
2021,3,Harvard University,94.8,94.4,98.8,99.4,46.8,77.7,
2021,4,California Institute of Technology,94.5,92.5,96.9,97.0,92.7,83.6,
2021,5,Massachusetts Institute of Technology,94.4,90.7,94.4,99.7,90.4,90.0,
2021,6,University of Cambridge,94.0,90.3,99.2,95.6,52.1,95.7,
2021,7,"University of California, Berkeley",92.2,85.8,97.2,99.1,84.3,72.3,
2021,8,Yale University,91.6,91.9,93.8,97.9,56.1,68.4,
2021,9,Princeton University,91.5,88.8,92.5,98.9,58.0,80.2,
2021,10,The University of Chicago,90.3,88.9,90.5,98.6,54.9,74.0,
2021,11,Imperial College London,89.4,82.3,88.2,97.2,69.6,97.4,
2021,12,Johns Hopkins University,89.2,81.6,91.8,97.7,93.4,73.9,
2021,13,University of Pennsylvania,88.9,85.4,89.9,98.1,77.9,66.3,
2021,14,ETH Zurich,87.9,80.4,92.3,90.5,62.8,98.0,
2021,15,"University of California, Los Angeles",87.1,82.5,90.2,96.5,57.6,65.3,
2021,16,UCL,86.9,76.6,89.4,96.2,42.1,96.5,
2021,17,Columbia University,86.8,85.1,82.9,97.7,45.0,79.8,
2021,18,University of Toronto,86.0,75.4,90.9,94.5,50.0,87.2,
2021,19,Cornell University,85.3,78.8,86.7,97.2,36.3,73.7,
2021,20,Duke University,84.8,80.7,80.4,96.9,99.7,65.5,=
2021,20,Tsinghua University,84.8,87.7,94.9,78.8,100.0,51.1,=
2021,22,University of Michigan-Ann Arbor,84.0,79.0,86.9,95.4,47.2,59.6,
2021,23,Peking University,83.9,89.6,91.3,75.4,96.3,61.2,
2021,24,Northwestern University,83.6,74.9,83.6,98.2,69.9,64.5,
2021,25,National University of Singapore,83.5,75.9,90.8,81.5,77.8,94.8,
2021,26,New York University,81.9,76.1,80.6,96.0,37.3,69.6,
2021,27,London School of Economics and Political Science,81.4,68.5,82.5,94.3,34.1,92.8,
2021,28,Carnegie Mellon University,81.0,65.1,81.3,98.9,53.3,80.5,
2021,29,University of Washington,80.4,69.8,80.5,98.7,45.6,60.9,
2021,30,University of Edinburgh,79.4,67.2,74.7,96.0,38.7,94.6,
2021,31,University of Melbourne,78.9,67.1,76.3,90.1,74.2,93.9,
2021,32,LMU Munich,78.2,68.7,78.7,87.9,100.0,68.1,
2021,33,"University of California, San Diego",77.7,60.3,80.4,94.3,95.6,64.4,
2021,34,University of British Columbia,76.4,62.1,75.1,90.0,44.7,94.7,
2021,35,King’s College London,76.1,57.3,72.4,96.6,43.6,95.4,
2021,36,Karolinska Institute,76.0,57.6,72.2,95.8,71.4,87.3,=
2021,36,The University of Tokyo,76.0,87.9,90.7,57.7,82.6,40.1,=
2021,38,Georgia Institute of Technology,75.8,59.5,76.8,91.1,65.8,78.9,
2021,39,University of Hong Kong,75.2,67.5,73.3,80.3,57.4,99.0,
2021,40,McGill University,75.1,64.2,73.4,86.4,43.7,91.3,
2021,41,Technical University of Munich,74.8,63.8,73.6,85.0,100.0,74.4,
2021,42,Universität Heidelberg,74.3,67.5,61.7,96.6,56.9,68.4,
2021,43,École Polytechnique Fédérale de Lausanne,74.1,63.9,66.7,85.8,73.3,98.5,
2021,44,University of Texas at Austin,74.0,67.9,74.8,90.5,46.2,39.4,
2021,45,KU Leuven,73.7,58.7,74.4,86.1,97.2,72.7,
2021,46,Paris Sciences et Lettres – PSL Research University Paris,73.6,71.2,73.0,75.9,61.7,80.6,
2021,47,"Nanyang Technological University, Singapore",72.7,57.1,71.9,83.0,83.2,94.0,
2021,48,University of Illinois at Urbana-Champaign,72.3,62.5,79.1,81.3,49.5,55.1,
2021,49,University of Wisconsin-Madison,71.4,68.2,71.4,82.5,45.0,48.4,
2021,50,Washington University in St Louis,71.1,61.2,58.7,99.0,40.4,59.1,
2021,51,University of Manchester,70.9,57.1,66.5,85.6,49.2,91.7,=
2021,51,The University of Sydney,70.9,51.3,64.4,92.3,69.3,90.0,=
2021,53,University of Southern California,70.4,63.8,58.4,93.1,39.2,64.9,
2021,54,Boston University,70.3,58.9,60.9,94.9,41.7,64.9,=
2021,54,Kyoto University,70.3,77.9,79.9,60.8,74.6,37.8,=
2021,56,The Chinese University of Hong Kong,70.1,55.7,59.1,89.4,58.6,98.3,=
2021,56,The Hong Kong University of Science and Technology,70.1,52.1,63.0,88.9,63.6,97.4,=
2021,56,University of North Carolina at Chapel Hill,70.1,60.6,63.3,96.3,42.5,39.7,=
2021,59,Australian National University,69.8,48.5,68.3,88.4,43.0,96.2,
2021,60,Seoul National University,69.7,72.4,73.8,68.8,97.8,37.4,
2021,61,Brown University,69.5,62.4,56.6,94.0,36.1,62.3,
2021,62,The University of Queensland,69.4,54.3,61.0,85.9,81.0,93.0,=
2021,62,Wageningen University & Research,69.4,48.2,56.4,97.3,100.0,83.7,=
2021,64,"University of California, Davis",68.9,60.5,66.2,81.9,50.4,66.9,=
2021,64,Monash University,68.9,52.9,61.7,86.2,73.9,90.3,=
2021,66,University of Amsterdam,68.8,49.1,62.2,92.8,39.9,87.4,
2021,67,UNSW Sydney,68.2,50.9,62.0,85.3,66.8,94.7,
2021,68,"University of California, Santa Barbara",67.9,45.8,59.6,96.7,81.8,70.0,
2021,69,McMaster University,67.5,46.7,53.1,95.8,99.5,83.8,
2021,70,Fudan University,66.7,65.9,65.6,73.3,67.1,47.7,=
2021,70,Leiden University,66.7,45.6,66.0,84.1,72.6,82.2,=
2021,72,Erasmus University Rotterdam,66.2,37.9,57.0,97.6,73.6,87.8,
2021,73,Université de Montréal,65.6,51.1,52.6,87.4,78.3,84.3,=
2021,73,University of Zurich,65.6,50.1,50.4,89.8,64.1,92.1,=
2021,75,Charité - Universitätsmedizin Berlin,65.4,48.3,48.0,97.4,92.1,66.6,=
2021,75,Utrecht University,65.4,43.0,61.1,89.9,65.7,74.1,=
2021,77,University of Warwick,65.3,46.7,53.8,90.1,41.6,94.0,
2021,78,Delft University of Technology,65.2,54.4,71.6,60.0,98.9,92.8,=
2021,78,University of Tübingen,65.2,53.3,59.7,81.9,77.1,64.3,=
2021,80,University of Groningen,65.1,41.2,56.2,92.6,69.8,85.1,=
2021,80,Humboldt University of Berlin,65.1,60.6,67.8,68.3,37.6,68.3,=
2021,80,Ohio State University (Main campus),65.1,55.6,54.2,87.9,53.3,60.1,=
2021,83,University of Freiburg,64.7,48.4,52.2,87.3,100.0,77.8,
2021,84,University of Copenhagen,63.8,49.3,47.3,90.4,50.5,86.4,
2021,85,Emory University,63.7,53.9,41.1,98.7,46.7,59.2,=
2021,85,University of Minnesota,63.7,55.1,59.0,81.4,80.3,40.7,=
2021,87,École Polytechnique – Institut Polytechnique de Paris,63.4,60.5,52.4,68.2,72.1,96.1,=
2021,87,University of Science and Technology of China,63.4,64.0,60.4,72.3,75.2,33.0,=
2021,87,Sorbonne University,63.4,63.2,54.5,73.5,36.9,68.5,=
2021,90,"University of Maryland, College Park",63.1,47.4,58.8,90.2,38.9,42.9,
2021,91,University of Bristol,63.0,40.3,48.6,95.6,39.8,88.2,
2021,92,University of Basel,62.9,44.0,41.4,91.7,99.7,97.2,=
2021,92,University of Glasgow,62.9,40.9,48.1,94.3,39.9,92.8,=
2021,94,Purdue University West Lafayette,62.5,57.1,65.5,62.0,69.9,71.5,=
2021,94,Zhejiang University,62.5,65.9,65.6,52.3,100.0,65.1,=
2021,96,Korea Advanced Institute of Science and Technology (KAIST),62.4,64.4,68.1,57.9,100.0,36.6,
2021,97,National Taiwan University (NTU),62.3,57.1,66.7,66.9,69.5,44.8,
2021,98,"University of California, Irvine",62.1,43.5,47.5,93.5,53.2,72.4,=
2021,98,University of Helsinki,62.1,42.7,58.3,88.9,37.0,56.1,=
2021,100,Shanghai Jiao Tong University,61.8,60.8,70.0,53.7,100.0,52.0,
2021,101,Dartmouth College,61.7,57.8,39.2,95.3,37.8,40.7,=
2021,101,Sungkyunkwan University (SKKU),61.7,55.7,60.3,67.8,98.1,55.0,=
2021,103,Ghent University,61.6,46.6,57.4,79.6,79.9,60.7,=
2021,103,Lund University,61.6,39.4,54.5,85.5,79.0,77.0,=
2021,105,Michigan State University,61.5,53.1,55.1,77.9,36.4,63.6,
2021,106,Aarhus University,61.4,36.9,56.4,86.2,71.3,76.6,
2021,107,University of Birmingham,61.3,40.3,45.5,92.6,40.1,90.2,=
2021,107,RWTH Aachen University,61.3,55.8,62.4,62.9,98.0,60.1,=
2021,109,University of Bern,61.2,44.9,42.8,87.4,84.7,87.1,
2021,110,Queen Mary University of London,61.1,34.9,43.6,97.4,41.5,96.8,
2021,111,Nanjing University,61.0,52.4,54.0,75.2,91.3,56.3,=
2021,111,Uppsala University,61.0,39.2,55.3,84.8,72.4,72.2,=
2021,111,Vanderbilt University,61.0,48.9,44.5,94.6,53.5,43.6,=
2021,114,University of Bonn,60.9,48.6,49.8,84.9,52.7,61.7,=
2021,114,Penn State (Main campus),60.9,52.6,58.8,76.9,36.9,46.9,=
2021,116,Vrije Universiteit Amsterdam,60.8,38.2,52.1,89.3,57.5,73.1,
2021,117,University of Virginia (Main campus),60.6,52.1,43.3,90.7,41.9,50.2,
2021,118,University of Adelaide,60.4,33.7,42.9,96.0,68.5,92.3,=
2021,118,Free University of Berlin,60.4,56.8,64.4,58.4,42.0,73.3,=
2021,120,Georgetown University,60.1,54.5,33.8,94.7,65.7,47.2,
2021,121,Case Western Reserve University,60.0,47.3,41.0,95.0,40.7,53.5,=
2021,121,Maastricht University,60.0,39.9,49.1,79.7,82.1,98.0,=
2021,121,University of Sheffield,60.0,45.0,47.4,81.8,46.5,87.7,=
2021,124,University of Arizona,59.8,47.6,51.7,85.6,50.3,40.4,=
2021,124,Rice University,59.8,48.0,38.4,89.9,42.9,77.3,=
2021,126,City University of Hong Kong,59.7,44.1,47.2,78.6,50.3,99.8,
2021,127,University of Oslo,59.4,39.5,44.2,91.5,40.4,78.1,=
2021,127,University of Southampton,59.4,39.4,42.5,89.0,41.2,94.5,=
2021,129,The Hong Kong Polytechnic University,59.1,41.1,47.5,81.0,41.7,96.1,
2021,130,University of Göttingen,59.0,47.6,48.5,82.1,36.4,61.8,
2021,131,University of Alberta,58.9,46.4,50.4,72.4,60.0,88.2,=
2021,131,University of Colorado Boulder,58.9,43.8,45.9,91.3,42.0,47.5,=
2021,133,University of Pittsburgh-Pittsburgh campus,58.8,45.5,42.8,93.9,40.6,41.7,=
2021,133,University of York,58.8,39.0,44.8,87.9,35.2,86.0,=
2021,135,University of Hamburg,58.6,45.0,53.9,74.1,93.7,58.7,
2021,136,Lancaster University,58.4,36.8,40.5,90.9,35.2,94.6,=
2021,136,Université Paris Cité,58.4,50.8,38.2,86.3,33.3,66.4,=
2021,136,Radboud University Nijmegen,58.4,33.7,50.0,88.6,48.0,73.9,=
2021,139,The University of Western Australia,58.3,32.4,43.1,90.4,59.1,94.6,
2021,140,Indiana University,58.2,49.8,48.8,77.8,51.7,53.6,=
2021,140,University of Mannheim,58.2,41.4,49.7,82.7,58.8,60.6,=
2021,140,Technical University of Berlin,58.2,51.2,55.9,62.3,93.9,66.9,=
2021,140,Ulm University,58.2,40.0,37.9,94.9,82.0,57.4,=
2021,140,University of Würzburg,58.2,39.3,43.0,90.5,70.2,61.5,=
2021,145,University of Cologne,58.0,42.9,44.8,81.6,79.6,69.6,=
2021,145,University of Ottawa,58.0,41.1,41.3,87.1,46.0,79.9,=
2021,147,University of Auckland,57.8,30.6,44.8,87.5,75.4,94.5,=
2021,147,University of Rochester,57.8,45.4,35.2,91.2,41.4,69.8,=
2021,149,Durham University,57.6,44.8,49.7,71.2,37.3,92.7,=
2021,149,University of Geneva,57.6,35.2,45.4,80.6,72.8,98.3,=
2021,151,Pohang University of Science and Technology (POSTECH),57.5,53.8,51.5,70.4,97.9,30.7,
2021,152,University of Florida,57.4,54.2,60.4,61.9,56.1,40.5,=
2021,152,Pompeu Fabra University,57.4,36.9,39.9,93.8,50.9,65.8,=
2021,152,TU Dresden,57.4,47.2,48.6,73.1,96.7,57.6,=
2021,155,University of Cape Town,57.3,30.1,42.1,90.9,89.0,81.6,=
2021,155,Trinity College Dublin,57.3,40.5,44.4,78.3,50.7,94.8,=
2021,155,Tufts University,57.3,46.7,33.0,95.5,38.5,50.0,=
2021,158,Bielefeld University,56.9,34.4,42.7,94.8,66.5,48.3,=
2021,158,University of Nottingham,56.9,42.0,42.4,80.0,38.7,87.8,=
2021,160,University of Leeds,56.8,43.2,46.2,74.7,38.5,88.5,=
2021,160,University of Sussex,56.8,32.7,38.1,92.3,35.1,93.9,=
2021,160,University of Technology Sydney,56.8,35.3,44.3,81.1,53.7,97.0,=
2021,163,University of Liverpool,56.7,35.2,38.1,89.5,37.9,92.6,
2021,164,Université Catholique de Louvain,56.5,38.1,51.5,73.7,57.9,80.5,=
2021,164,University of Vienna,56.5,46.1,56.4,59.1,36.3,94.6,=
2021,166,Rutgers University–New Brunswick,56.4,47.3,48.5,75.8,40.4,52.5,
2021,167,University of Bologna,56.3,50.8,36.6,83.6,44.1,51.6,=
2021,167,Korea University,56.3,48.7,50.1,67.6,96.2,53.4,=
2021,169,University of Alabama at Birmingham,56.2,38.4,35.5,97.4,78.6,38.4,
