year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook,rank_prefix
2024,81,University of Bristol,69.8,48.7,56.5,97.3,72.3,92.5,
2024,82,City University of Hong Kong,69.3,52.2,52.4,91.1,100.0,98.7,
2024,83,Korea Advanced Institute of Science and Technology (KAIST),69.2,67.1,65.8,77.4,100.0,41.6,
2024,84,UNSW Sydney,68.9,47.2,57.4,91.1,98.6,94.5,
2024,85,University of Minnesota,68.7,61.0,58.5,87.2,99.8,48.3,
2024,86,Purdue University West Lafayette,68.5,64.0,65.3,71.8,84.3,76.7,
2024,87,University of Glasgow,68.2,48.1,51.8,96.8,69.7,96.1,=
2024,87,The Hong Kong Polytechnic University,68.2,45.7,54.1,94.5,87.4,96.3,=
2024,87,Humboldt University of Berlin,68.2,55.3,63.7,82.8,65.4,79.0,=
2024,90,RWTH Aachen University,68.0,54.9,64.8,78.9,100.0,71.2,
2024,91,University of Bonn,67.8,51.7,57.7,89.7,82.6,73.8,
2024,92,"University of California, Irvine",67.4,47.1,53.8,93.2,96.1,80.9,=
2024,92,Vanderbilt University,67.4,54.1,48.5,96.0,96.5,62.9,=
2024,94,Charité - Universitätsmedizin Berlin,67.2,47.5,49.1,97.7,100.0,75.2,
2024,95,Lomonosov Moscow State University,67.0,87.5,75.2,33.9,91.1,73.8,=
2024,95,University of Tübingen,67.0,49.1,56.5,89.0,99.8,72.0,=
2024,97,KTH Royal Institute of Technology,66.9,53.5,57.8,81.0,97.7,82.5,=
2024,97,University of Southampton,66.9,48.9,50.1,92.7,73.1,96.5,=
2024,99,Erasmus University Rotterdam,66.7,38.5,54.1,96.9,94.7,90.6,=
2024,99,Ohio State University (Main campus),66.7,55.8,52.7,88.4,85.0,67.3,=
2024,101,University of Birmingham,66.6,46.1,49.3,95.5,72.1,95.1,
2024,102,Free University of Berlin,66.5,52.1,59.7,82.5,71.6,82.4,
2024,103,University of Copenhagen,66.3,49.2,51.1,91.3,89.5,80.1,=
2024,103,McMaster University,66.3,43.8,51.3,93.0,100.0,87.3,=
2024,105,University of Sheffield,66.2,48.0,49.5,92.3,77.5,92.0,
2024,106,Emory University,66.1,53.1,45.7,95.5,81.6,69.3,=
2024,106,Lund University,66.1,46.7,56.6,86.6,99.8,79.8,=
2024,106,University of Warwick,66.1,48.1,52.1,89.0,70.5,96.4,=
2024,109,Aarhus University,65.9,44.9,59.0,86.3,98.7,76.3,=
2024,109,University of Alberta,65.9,50.1,55.5,80.9,99.9,90.7,=
2024,111,University of Adelaide,65.8,42.4,50.6,92.8,95.0,92.9,=
2024,111,University of Göttingen,65.8,50.0,54.8,90.1,70.8,70.7,=
2024,111,Université de Montréal,65.8,51.2,54.1,81.7,96.6,87.7,=
2024,114,"University of Maryland, College Park",65.7,49.4,58.1,92.8,70.2,48.6,
2024,115,Ghent University,65.6,47.2,59.3,85.3,99.7,65.7,
2024,116,University of Bern,65.4,45.1,47.0,93.3,99.2,87.0,=
2024,116,Michigan State University,65.4,54.8,52.3,86.2,70.0,71.4,=
2024,118,Texas A&M University,65.3,55.2,62.1,77.3,76.4,64.1,
2024,119,Rice University,65.2,56.4,45.6,86.5,73.9,85.8,=
2024,119,University of Vienna,65.2,48.7,60.3,77.4,75.9,94.9,=
2024,121,University of Helsinki,65.1,48.1,57.6,90.6,69.2,56.7,
2024,122,Penn State (Main campus),65.0,53.1,58.7,83.7,70.4,58.4,
