year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
2011,85,Durham University,58.9,39.8,44.1,91.0,33.9,65.7
2011,86,London School of Economics and Political Science,58.3,62.4,56.2,51.6,38.4,99.5
2011,87,University of Manchester,58.0,56.5,56.2,59.2,39.0,79.1
2011,88,"Royal Holloway, University of London",57.9,37.7,36.2,93.2,30.5,92.9
2011,89,Lund University,57.8,46.3,60.8,67.6,33.2,56.8
2011,90,University of Zurich,57.7,56.6,47.0,65.0,43.8,87.9
2011,90,University of Southampton,57.7,50.8,47.8,72.9,37.7,69.0
2011,90,Wake Forest University,57.7,54.6,42.9,79.2,-,24.4
2011,93,McMaster University,57.6,44.7,58.7,68.5,-,-
2011,94,University College Dublin,57.5,42.4,36.6,86.3,-,87.0
2011,95,University of Basel,57.3,50.2,37.1,78.3,45.8,91.3
2011,95,George Washington University,57.3,60.6,43.1,70.2,-,39.6
2011,95,University of Arizona,57.3,52.4,52.2,70.1,84.2,21.9
2011,98,"University of Maryland, College Park",57.2,45.4,48.6,79.2,-,35.4
2011,99,Dartmouth College,57.1,44.7,49.2,79.7,-,31.0
2011,100,École Normale Supérieure de Lyon,57.0,51.1,34.4,88.8,26.1,37.6
2011,101,Technical University of Munich,56.9,50.4,43.2,71.2,-,85.3
2011,102,University of Helsinki,56.6,49.0,51.4,75.4,30.2,24.2
2011,103,University of St Andrews,56.5,44.8,47.7,72.9,32.6,85.7
2011,104,Rensselaer Polytechnic Institute,56.4,50.5,54.6,64.9,-,48.0
2011,105,Rutgers University–New Brunswick,56.3,53.4,64.7,55.7,-,26.8
2011,106,Purdue University West Lafayette,56.2,57.0,67.8,43.9,-,62.6
2011,107,University of Cape Town,56.1,36.6,42.1,82.8,-,83.3
2011,107,National Tsing Hua University,56.1,52.2,52.6,66.9,50.2,34.1
2011,109,Seoul National University,56.0,62.3,54.1,54.6,43.0,44.9
2011,109,Penn State (Main campus),56.0,46.3,49.2,77.6,44.0,19.9
2011,111,Hong Kong Baptist University,55.6,32.9,32.5,97.6,26.7,71.8
2011,112,Tokyo Institute of Technology,55.4,62.9,63.4,45.5,60.5,24.8
2011,112,Bilkent University,55.4,34.3,36.1,95.7,32.4,47.7
2011,114,Eindhoven University of Technology,55.3,55.4,51.7,56.9,99.8,44.9
2011,115,National Taiwan University (NTU),55.2,50.3,59.0,61.6,35.7,29.2
2011,115,University of Hawai’i at Mānoa,55.2,38.3,47.6,81.0,-,34.2
2011,117,"University of California, Riverside",55.1,38.6,47.4,78.3,30.5,63.0
2011,118,University of Geneva,55.0,46.6,49.7,63.1,32.7,95.7
2011,119,KU Leuven,54.8,57.7,62.9,45.2,97.7,29.6
2011,120,Queen Mary University of London,54.6,39.7,44.1,73.5,38.9,91.0
2011,120,Nanjing University,54.6,52.2,46.2,66.0,43.4,50.2
2011,122,Technical University of Denmark,54.5,46.2,46.9,64.6,95.5,64.0
2011,122,Michigan State University,54.5,50.4,52.7,63.7,-,30.4
2011,124,Ghent University,54.4,52.8,59.1,52.8,97.1,24.7
2011,124,Lancaster University,54.4,43.5,41.9,74.9,28.8,73.8
2011,124,Leiden University,54.4,47.3,54.9,59.3,100.0,40.0
2011,127,University of Alberta,54.3,53.7,58.0,49.7,44.5,71.6
2011,128,University of Glasgow,54.2,45.6,50.3,65.1,61.0,55.1
2011,129,Stockholm University,54.0,36.9,49.2,75.9,31.7,-
2011,130,University of Victoria,53.4,32.9,48.3,79.1,27.4,-
2011,130,The University of Osaka,53.4,61.7,63.4,40.0,73.4,20.1
2011,132,Tohoku University,53.3,60.3,62.5,41.2,82.3,20.1
2011,132,University of Iowa,53.3,48.6,59.8,54.8,-,31.7
2011,132,University of Freiburg,53.3,52.4,41.4,64.3,79.8,46.2
2011,135,University of Bergen,52.7,39.9,42.1,73.1,41.5,66.6
2011,136,University of Lausanne,52.6,43.1,50.5,59.1,42.5,84.1
2011,137,University of Sheffield,52.5,48.9,49.2,58.4,40.3,62.7
2011,138,Université de Montréal,52.4,56.1,49.4,51.9,-,-
2011,139,Vrije Universiteit Amsterdam,52.3,47.6,51.6,58.5,81.4,30.6
2011,140,Pierre and Marie Curie University,52.2,51.9,37.2,71.5,26.4,30.7
2011,140,University of Dundee,52.2,34.1,41.0,79.3,49.3,54.4
2011,142,University of Barcelona,52.1,34.1,33.7,91.9,30.0,22.3
2011,143,Utrecht University,52.0,43.4,53.0,58.8,55.3,52.6
2011,144,Wageningen University & Research,51.9,58.5,48.8,53.0,-,24.3
2011,145,University of Birmingham,51.8,50.3,50.7,52.1,34.8,73.8
2011,145,University of Auckland,51.8,34.8,39.2,71.8,61.1,94.3
2011,147,Alexandria University,51.6,29.5,28.0,99.8,36.0,19.3
2011,147,Uppsala University,51.6,49.6,62.2,40.7,39.5,77.9
2011,149,University of Aberdeen,51.4,37.8,45.2,64.6,47.0,86.1
2011,149,The Hong Kong Polytechnic University,51.4,39.4,45.7,62.4,57.2,82.9
2011,151,Delft University of Technology,51.3,55.5,67.7,29.0,99.4,47.4
2011,152,"Birkbeck, University of London",51.2,41.2,35.8,70.6,27.4,88.5
2011,152,Newcastle University,51.2,42.7,42.8,63.6,31.1,80.5
2011,152,UNSW Sydney,51.2,49.5,48.9,51.2,60.0,70.7
2011,155,Pompeu Fabra University,51.1,35.0,33.0,84.7,40.0,44.1
2011,156,Indiana University,51.0,48.5,42.5,63.2,-,37.7
2011,156,Iowa State University,51.0,49.3,49.6,58.2,49.6,23.2
2011,158,Georgia Health Sciences University,50.7,67.3,41.7,48.9,50.1,16.3
2011,159,University of Delaware,50.4,38.4,51.9,61.3,100.0,16.8
2011,159,Erasmus University Rotterdam,50.4,39.4,43.6,65.5,-,58.6
2011,161,Arizona State University (Tempe),50.3,43.0,44.1,66.9,-,24.1
2011,161,Boston College,50.3,40.1,33.6,78.0,-,31.6
2011,163,National Sun Yat-Sen University,50.2,46.1,50.6,58.9,37.5,21.3
2011,164,Georgetown University,50.1,65.1,44.7,45.0,-,24.7
2011,165,University of Liverpool,50.0,40.8,47.8,59.6,40.6,59.8
2011,165,University of Amsterdam,50.0,42.5,49.2,60.2,38.8,38.2
2011,167,Aarhus University,49.9,38.1,55.6,57.3,61.5,33.4
2011,168,University of Würzburg,49.8,48.7,40.9,60.4,-,40.3
2011,168,University of Leeds,49.8,46.2,48.0,55.6,38.3,50.0
2011,170,University of Groningen,49.7,41.7,56.4,54.1,34.2,35.5
2011,171,Sun Yat-sen University,49.6,46.2,34.7,70.2,41.2,29.3
2011,172,Goethe University Frankfurt,49.4,39.2,37.3,69.5,41.6,56.1
2011,173,Bielefeld University,49.3,39.9,35.7,70.4,-,-
2011,174,University of Nottingham,49.0,46.8,44.1,52.5,38.4,74.8
2011,174,University of East Anglia,49.0,42.1,40.4,62.8,29.7,62.8
2011,174,"Nanyang Technological University, Singapore",49.0,43.6,51.7,45.0,40.0,96.3
2011,177,University of Copenhagen,48.8,44.1,45.7,58.3,26.1,45.8
2011,178,University of Bonn,48.5,46.8,33.8,65.3,29.4,46.8
2011,178,Humboldt University of Berlin,48.5,50.9,44.5,52.0,27.8,46.1
2011,178,Monash University,48.5,39.4,38.8,60.5,40.8,87.1
2011,181,National Chiao Tung University,48.3,53.2,54.4,32.9,98.7,57.9
2011,182,RWTH Aachen University,48.2,50.0,42.5,48.9,56.6,63.8
2011,183,Middle East Technical University,47.7,39.5,39.5,66.4,43.9,27.2
2011,184,University of Exeter,47.6,40.4,42.5,57.9,32.2,62.8
2011,185,University of Twente,47.5,49.9,48.3,42.0,49.8,62.4
2011,186,University of Konstanz,47.3,42.7,40.1,51.3,-,93.6
2011,187,University of Innsbruck,47.2,37.9,34.8,60.2,35.0,99.5
2011,187,Karlsruhe Institute of Technology,47.2,45.0,35.4,60.7,40.0,47.3
2011,189,University of Tübingen,47.0,45.9,36.3,57.3,32.3,57.8
2011,190,University of Cincinnati – Uptown,46.9,43.6,40.4,61.5,32.5,18.9
2011,190,Drexel University,46.9,45.0,35.9,58.2,27.4,60.6
2011,190,Yonsei University,46.9,43.0,48.7,52.2,40.4,28.0
2011,193,Dalhousie University,46.8,41.6,50.2,48.8,-,44.9
2011,193,KTH Royal Institute of Technology,46.8,49.1,56.2,29.2,100.0,64.2
2011,195,University of Vienna,46.7,47.6,45.7,45.6,27.0,63.2
2011,196,Kent State University,46.5,33.5,33.3,76.8,26.3,15.9
2011,197,Zhejiang University,46.4,54.6,41.3,44.3,70.3,29.6
2011,197,University of Illinois Chicago,46.4,57.8,46.8,34.7,-,51.8
2011,199,Simon Fraser University,46.2,32.9,44.2,60.2,37.9,51.9
2011,199,Swedish University of Agricultural Sciences,46.2,43.3,49.5,41.7,99.9,-
