year,Rank,Name,No. of FTE students,No. of students per staff,International students,Female:Male ratio
2016,601-800,Tottori University,"6,248",8.2,2%,34 : 66
2016,601-800,Toyohashi University of Technology (TUT),"2,153",9.3,9%,9 : 91
2016,601-800,Universiti Kebangsaan Malaysia,"24,227",11.8,12%,62 : 38
2016,601-800,Universiti Putra Malaysia,"23,883",12.2,15%,63 : 37
2016,601-800,Universiti Sains Malaysia,"28,179",14.8,10%,61 : 39
2016,601-800,Universiti Teknologi MARA,"69,268",16.8,0%,65 : 35
2016,601-800,Ural Federal University,"28,427",10.1,3%,48 : 52
2016,601-800,V.N. Karazin Kharkiv National University,"14,410",9.7,22%,53 : 47
2016,601-800,University of Vigo,"22,793",19.0,3%,51 : 49
2016,601-800,Vilnius University,"19,019",14.2,4%,65 : 35
2016,601-800,Warsaw University of Technology,"34,572",14.5,3%,34 : 66
2016,601-800,Waseda University,"52,316",16.9,8%,35 : 65
2016,601-800,University of West Bohemia,"15,639",21.5,2%,52 : 48
2016,601-800,UWE Bristol (University of the West of England),"22,525",21.4,15%,53 : 47
2016,601-800,West University of Timişoara,"12,933",19.0,2%,62 : 38
2016,601-800,University of Westminster,"16,610",20.9,43%,57 : 43
2016,601-800,Xidian University,"31,618",16.4,2%,29 : 71
2016,601-800,Yeungnam University,"21,958",15.3,3%,48 : 52
2016,601-800,Yıldız Technical University,"31,268",28.7,2%,36 : 64
2016,601-800,Yokohama City University,"4,122",3.7,3%,
2016,601-800,Yokohama National University,"10,117",12.1,7%,28 : 72
2016,601-800,Yuan Ze University,"8,663",20.6,4%,43 : 57
