year,Rank,Name,No. of FTE students,No. of students per staff,International students,Female:Male ratio,rank_prefix
2021,251–300,Swansea University,"17,355",16.5,22%,45 : 55,
2021,251–300,University of Tartu,"8,735",11.9,10%,68 : 32,
2021,251–300,University College Dublin,"23,148",23.2,30%,,
2021,251–300,Vita-Salute San Raffaele University,"2,880",9.8,4%,60 : 40,
2021,251–300,Vrije Universiteit Brussel,"12,041",29.8,23%,55 : 45,
2021,251–300,Wake Forest University,"7,804",4.1,10%,54 : 46,
2021,251–300,Western Sydney University,"34,750",37.8,20%,56 : 44,
2021,251–300,William & Mary,"8,278",11.1,9%,56 : 44,
2021,301–350,American University of Beirut,"8,603",8.4,22%,51 : 49,
2021,301–350,Anglia Ruskin University (ARU),"18,930",24.0,33%,64 : 36,
2021,301–350,Autonomous University of Madrid,"29,825",13.5,14%,61 : 39,
2021,301–350,Beijing Normal University,"23,365",14.9,11%,,
2021,301–350,Boston College,"12,921",15.5,11%,54 : 46,
2021,301–350,"University of California, Merced","7,849",21.2,9%,51 : 49,
2021,301–350,University of Colorado Denver/Anschutz Medical Campus,"17,112",4.0,8%,56 : 44,
2021,301–350,Cyprus University of Technology,"3,176",17.4,11%,55 : 45,
2021,301–350,University of Delaware,"21,564",17.1,10%,57 : 43,
2021,301–350,University of Essex,"12,435",15.5,38%,53 : 47,
2021,301–350,University of Greifswald,"10,179",21.0,7%,56 : 44,
2021,301–350,Huazhong University of Science and Technology,"56,941",16.3,6%,36 : 64,
2021,301–350,Illinois Institute of Technology,"6,092",14.5,49%,36 : 64,
2021,301–350,Indian Institute of Science,"4,038",9.3,1%,27 : 73,
2021,301–350,Johannes Gutenberg University of Mainz,"31,773",25.7,11%,59 : 41,
2021,301–350,University of Kent,"17,845",19.4,30%,53 : 47,
2021,301–350,University of Klagenfurt,"3,361",10.1,23%,69 : 31,
2021,301–350,Kurdistan University of Medical Sciences,"2,927",11.0,1%,51 : 49,
2021,301–350,University of Macau,"9,343",14.0,36%,56 : 44,
2021,301–350,University of Malaya,"15,794",8.3,20%,65 : 35,
2021,301–350,University of Marburg,"24,527",32.6,12%,55 : 45,
2021,301–350,Montpellier University,"39,703",19.7,15%,53 : 47,
2021,301–350,University of Galway,"14,453",26.6,18%,58 : 42,
2021,301–350,North Carolina State University,"29,966",12.5,15%,46 : 54,
2021,301–350,University of Oregon,"22,019",10.6,10%,54 : 46,
2021,301–350,University of Oulu,"9,822",26.6,7%,53 : 47,
2021,301–350,University of Passau,"11,249",91.4,14%,59 : 41,
2021,301–350,Peter the Great St Petersburg Polytechnic University,"16,768",9.2,31%,39 : 61,
2021,301–350,Qatar University,"8,808",9.2,37%,75 : 25,
2021,301–350,Reykjavík University,"2,501",23.4,9%,46 : 54,
2021,301–350,RMIT University,"33,427",23.1,33%,48 : 52,
2021,301–350,"Royal Holloway, University of London","9,685",14.7,35%,58 : 42,
2021,301–350,Rush University,"2,624",2.2,2%,74 : 26,
2021,301–350,Sejong University,"12,207",20.2,11%,46 : 54,
2021,301–350,University of South Australia,"20,930",30.6,20%,58 : 42,
2021,301–350,University of Stirling,"9,550",16.8,24%,63 : 37,
2021,301–350,Stony Brook University,"24,593",10.6,23%,50 : 50,
2021,301–350,Syracuse University,"20,484",15.0,20%,53 : 47,
2021,301–350,Taipei Medical University,"6,112",9.8,10%,58 : 42,
2021,301–350,Tampere University,"15,267",21.8,6%,52 : 48,
2021,301–350,Technical University of Darmstadt,"17,814",39.8,17%,31 : 69,
2021,301–350,Temple University,"36,398",13.1,9%,53 : 47,
2021,301–350,The University of Tennessee-Knoxville,"26,184",16.6,5%,,
2021,301–350,University of Texas at Dallas,"23,587",20.8,23%,43 : 57,
2021,301–350,Tokyo Institute of Technology,"9,566",7.8,13%,15 : 85,
2021,301–350,University of Trento,"13,180",20.1,7%,51 : 49,
2021,301–350,Tulane University,"11,224",9.1,11%,58 : 42,
2021,301–350,United Arab Emirates University,"7,270",8.9,18%,83 : 17,
2021,301–350,University College Cork,"17,051",17.6,19%,58 : 42,
2021,301–350,Washington State University,"28,482",18.4,7%,53 : 47,
2021,301–350,Wuhan University,"53,956",15.2,7%,,
2021,351–400,Aix-Marseille University,"68,841",16.7,13%,59 : 41,
2021,351–400,Babol Noshirvani University of Technology,"5,140",23.8,0%,34 : 66,
2021,351–400,University of Bayreuth,"9,162",30.5,12%,47 : 53,
2021,351–400,"Birkbeck, University of London","8,150",17.0,38%,54 : 46,
2021,351–400,Universiti Brunei Darussalam,"3,818",10.9,17%,65 : 35,
2021,351–400,Brunel University of London,"11,680",18.0,36%,47 : 53,
2021,351–400,Catholic University of Portugal,"11,187",23.7,17%,62 : 38,
2021,351–400,Central South University,"53,277",19.1,3%,,
2021,351–400,"City, University of London","14,785",18.5,51%,57 : 43,
2021,351–400,University of Crete,"13,649",24.5,5%,62 : 38,
2021,351–400,Drexel University,"20,140",11.4,16%,51 : 49,
2021,351–400,East China Normal University,"27,085",14.5,13%,65 : 35,
2021,351–400,University of Fribourg,"10,888",31.7,18%,60 : 40,
2021,351–400,Grenoble Alpes University,"40,486",17.1,14%,53 : 47,
2021,351–400,Hanyang University,"20,019",15.3,21%,,
2021,351–400,Hasselt University,"5,503",30.9,13%,48 : 52,
2021,351–400,Heriot-Watt University,"9,420",17.9,36%,41 : 59,
2021,351–400,Hong Kong Baptist University,"8,224",15.4,51%,71 : 29,
2021,351–400,IMT Atlantique,"1,628",8.6,43%,24 : 76,
2021,351–400,Indian Institute of Technology Ropar,"1,765",10.9,0%,16 : 84,
2021,351–400,University of Innsbruck,"13,492",22.8,42%,54 : 46,
2021,351–400,University of Kansas,"24,467",9.9,9%,52 : 48,
2021,351–400,Khalifa University,"3,164",9.7,19%,59 : 41,
2021,351–400,University of KwaZulu-Natal,"36,731",28.8,4%,58 : 42,
2021,351–400,LUT University,"4,099",29.2,16%,31 : 69,
2021,351–400,University of Liège,"20,968",25.9,20%,57 : 43,
2021,351–400,Loughborough University,"14,800",13.8,27%,41 : 59,
2021,351–400,University of Manitoba,"28,786",28.9,18%,53 : 47,
2021,351–400,University of Milan,"45,752",20.9,6%,59 : 41,
2021,351–400,University of Milan-Bicocca,"27,098",29.4,6%,61 : 39,
2021,351–400,Nagoya University,"15,589",9.4,11%,30 : 70,
2021,351–400,Nankai University,"29,500",13.5,8%,,
2021,351–400,National Tsing Hua University,"14,758",17.9,11%,42 : 58,
2021,351–400,Northumbria University,"21,980",17.2,18%,55 : 45,
2021,351–400,NOVA University of Lisbon,"19,976",18.3,19%,51 : 49,
2021,351–400,"University of Occupational and Environmental Health, Japan","1,159",2.5,1%,52 : 48,
2021,351–400,Örebro University,"9,434",16.9,6%,60 : 40,
2021,351–400,The University of Osaka,"22,867",7.4,12%,32 : 68,
2021,351–400,Politecnico di Milano,"36,828",25.4,18%,34 : 66,
2021,351–400,University of Stuttgart,"24,554",44.0,20%,33 : 67,
2021,351–400,Swedish University of Agricultural Sciences,"3,720",4.4,4%,69 : 31,
2021,351–400,Swinburne University of Technology,"15,604",25.1,28%,35 : 65,
2021,351–400,University of Tasmania,"18,328",22.8,33%,60 : 40,
2021,351–400,University of Turku,"12,813",15.8,6%,63 : 37,
2021,351–400,UiT The Arctic University of Norway,"14,276",10.4,11%,58 : 42,
2021,351–400,Umeå University,"17,055",12.4,11%,60 : 40,
2021,351–400,Université de Versailles Saint-Quentin-en-Yvelines,"16,699",21.2,16%,60 : 40,
2021,351–400,Victoria University,"15,838",44.1,28%,52 : 48,
2021,351–400,University of Victoria,"21,317",25.2,21%,55 : 45,
2021,351–400,Wayne State University,"22,359",11.6,7%,57 : 43,
2021,401–500,Aberystwyth University,"6,810",17.2,22%,51 : 49,
2021,401–500,University of Alaska Fairbanks,"3,342",8.2,5%,52 : 48,
2021,401–500,American University,"12,460",13.5,13%,63 : 37,
2021,401–500,Aston University,"11,550",19.7,25%,48 : 52,
2021,401–500,Aswan University,"25,114",40.9,2%,57 : 43,
2021,401–500,Bangor University,"9,665",17.0,25%,59 : 41,
2021,401–500,University of Bari Aldo Moro,"29,396",21.1,1%,61 : 39,
