year,Rank,Name,No. of FTE students,No. of students per staff,International students,Female:Male ratio,rank_prefix
2021,1,University of Oxford,"20,775",11.1,41%,46 : 54,
2021,2,Stanford University,"16,223",7.4,23%,44 : 56,
2021,3,Harvard University,"21,261",9.3,25%,49 : 51,
2021,4,California Institute of Technology,"2,238",6.3,33%,36 : 64,
2021,5,Massachusetts Institute of Technology,"11,276",8.4,34%,39 : 61,
2021,6,University of Cambridge,"19,370",11.0,38%,47 : 53,
2021,7,"University of California, Berkeley","39,918",19.8,17%,51 : 49,
2021,8,Yale University,"12,910",6.0,20%,50 : 50,
2021,9,Princeton University,"8,091",8.0,23%,46 : 54,
2021,10,The University of Chicago,"14,292",5.9,31%,46 : 54,
2021,11,Imperial College London,"17,175",11.6,58%,39 : 61,
2021,12,Johns Hopkins University,"16,432",4.4,27%,52 : 48,
2021,13,University of Pennsylvania,"20,771",6.4,21%,52 : 48,
2021,14,ETH Zurich,"19,632",13.1,40%,32 : 68,
2021,15,"University of California, Los Angeles","41,673",10.0,17%,55 : 45,
2021,16,UCL,"34,590",10.8,55%,57 : 43,
2021,17,Columbia University,"27,384",5.7,39%,,
2021,18,University of Toronto,"74,502",20.0,22%,59 : 41,
2021,19,Cornell University,"23,016",10.2,25%,50 : 50,
2021,20,Duke University,"15,489",4.3,21%,49 : 51,=
2021,20,Tsinghua University,"37,484",11.6,13%,34 : 66,=
2021,22,University of Michigan-Ann Arbor,"43,873",8.3,17%,50 : 50,
2021,23,Peking University,"38,583",11.1,16%,43 : 57,
2021,24,Northwestern University,"18,529",13.0,19%,49 : 51,
2021,25,National University of Singapore,"30,943",18.0,26%,50 : 50,
2021,26,New York University,"44,474",8.8,34%,57 : 43,
2021,27,London School of Economics and Political Science,"10,660",12.0,72%,54 : 46,
2021,28,Carnegie Mellon University,"14,058",13.7,48%,43 : 57,
2021,29,University of Washington,"46,258",10.7,17%,53 : 47,
2021,30,University of Edinburgh,"30,650",12.1,42%,60 : 40,
2021,31,University of Melbourne,"50,094",27.0,48%,57 : 43,
2021,32,LMU Munich,"34,249",33.6,17%,61 : 39,
2021,33,"University of California, San Diego","34,232",12.0,30%,47 : 53,
2021,34,University of British Columbia,"53,123",18.7,32%,55 : 45,
2021,35,King’s College London,"27,400",12.4,46%,62 : 38,
2021,36,Karolinska Institute,"7,696",8.8,26%,68 : 32,=
2021,36,The University of Tokyo,"25,935",10.6,13%,,=
2021,38,Georgia Institute of Technology,"26,043",23.6,27%,33 : 67,
2021,39,University of Hong Kong,"18,135",18.2,43%,54 : 46,
2021,40,McGill University,"31,578",12.8,31%,59 : 41,
2021,41,Technical University of Munich,"32,377",39.8,31%,36 : 64,
2021,42,Universität Heidelberg,"20,020",14.5,18%,54 : 46,
2021,43,École Polytechnique Fédérale de Lausanne,"10,942",12.2,60%,29 : 71,
2021,44,University of Texas at Austin,"49,510",16.9,10%,52 : 48,
2021,45,KU Leuven,"45,617",36.1,15%,50 : 50,
2021,46,Paris Sciences et Lettres – PSL Research University Paris,"20,701",14.7,24%,46 : 54,
2021,47,"Nanyang Technological University, Singapore","23,902",14.8,25%,48 : 52,
2021,48,University of Illinois at Urbana-Champaign,"45,980",17.8,24%,48 : 52,
2021,49,University of Wisconsin-Madison,"39,451",9.8,13%,,
2021,50,Washington University in St Louis,"13,693",7.5,21%,,
2021,51,University of Manchester,"36,555",14.4,41%,53 : 47,=
2021,51,The University of Sydney,"46,453",19.4,43%,58 : 42,=
2021,53,University of Southern California,"41,953",13.0,23%,49 : 51,
2021,54,Boston University,"26,510",11.1,28%,59 : 41,=
2021,54,Kyoto University,"22,935",9.3,11%,25 : 75,=
2021,56,The Chinese University of Hong Kong,"18,675",19.3,33%,,=
2021,56,The Hong Kong University of Science and Technology,"9,976",21.6,30%,,=
2021,56,University of North Carolina at Chapel Hill,"30,956",8.2,8%,58 : 42,=
2021,59,Australian National University,"18,801",17.8,47%,53 : 47,
2021,60,Seoul National University,"26,757",15.1,11%,,
2021,61,Brown University,"9,695",10.8,20%,,
2021,62,The University of Queensland,"40,389",35.5,38%,55 : 45,=
2021,62,Wageningen University & Research,"14,356",21.0,27%,54 : 46,=
2021,64,"University of California, Davis","36,395",13.6,17%,58 : 42,=
2021,64,Monash University,"57,406",41.7,43%,57 : 43,=
2021,66,University of Amsterdam,"24,747",12.8,24%,57 : 43,
2021,67,UNSW Sydney,"46,234",41.0,44%,47 : 53,
2021,68,"University of California, Santa Barbara","24,780",28.2,18%,53 : 47,
2021,69,McMaster University,"25,285",30.5,18%,55 : 45,
2021,70,Fudan University,"32,597",11.2,13%,52 : 48,=
2021,70,Leiden University,"30,178",19.0,18%,59 : 41,=
2021,72,Erasmus University Rotterdam,"26,453",26.8,22%,50 : 50,
2021,73,Université de Montréal,"36,774",20.2,21%,,=
2021,73,University of Zurich,"22,960",14.8,21%,57 : 43,=
2021,75,Charité - Universitätsmedizin Berlin,"7,431",17.4,20%,65 : 35,=
2021,75,Utrecht University,"32,022",14.0,10%,58 : 42,=
2021,77,University of Warwick,"21,775",13.3,41%,49 : 51,
2021,78,Delft University of Technology,"19,594",17.4,31%,30 : 70,=
2021,78,University of Tübingen,"27,590",36.6,14%,58 : 42,=
2021,80,University of Groningen,"28,392",23.9,23%,51 : 49,=
2021,80,Humboldt University of Berlin,"33,388",56.3,18%,,=
2021,80,Ohio State University (Main campus),"54,650",12.1,13%,50 : 50,=
2021,83,University of Freiburg,"14,878",32.5,21%,54 : 46,
2021,84,University of Copenhagen,"30,746",4.2,17%,62 : 38,
2021,85,Emory University,"12,923",4.0,20%,59 : 41,=
2021,85,University of Minnesota,"61,994",12.4,11%,53 : 47,=
2021,87,École Polytechnique – Institut Polytechnique de Paris,"2,850",5.6,44%,23 : 77,=
2021,87,University of Science and Technology of China,"16,434",7.2,5%,,=
2021,87,Sorbonne University,"43,585",12.8,20%,58 : 42,=
2021,90,"University of Maryland, College Park","33,671",16.6,11%,48 : 52,
2021,91,University of Bristol,"22,980",14.5,28%,55 : 45,
2021,92,University of Basel,"9,229",12.3,30%,55 : 45,=
2021,92,University of Glasgow,"26,535",14.7,38%,59 : 41,=
2021,94,Purdue University West Lafayette,"41,573",16.3,22%,43 : 57,=
2021,94,Zhejiang University,"33,825",10.8,23%,23 : 77,=
2021,96,Korea Advanced Institute of Science and Technology (KAIST),"9,514",10.4,9%,20 : 80,
2021,97,National Taiwan University (NTU),"24,880",9.9,12%,43 : 57,
2021,98,"University of California, Irvine","35,040",17.5,27%,52 : 48,=
2021,98,University of Helsinki,"22,137",15.9,5%,66 : 34,=
2021,100,Shanghai Jiao Tong University,"38,556",11.9,11%,39 : 61,
2021,101,Dartmouth College,"6,336",7.6,15%,48 : 52,=
2021,101,Sungkyunkwan University (SKKU),"23,340",19.5,18%,43 : 57,=
2021,103,Ghent University,"37,587",36.1,11%,56 : 44,=
2021,103,Lund University,"27,443",11.3,19%,55 : 45,=
2021,105,Michigan State University,"44,618",16.1,15%,51 : 49,
2021,106,Aarhus University,"26,318",13.8,10%,55 : 45,
2021,107,University of Birmingham,"30,195",14.8,30%,57 : 43,=
2021,107,RWTH Aachen University,"45,256",58.4,23%,32 : 68,=
2021,109,University of Bern,"11,417",16.8,16%,57 : 43,
2021,110,Queen Mary University of London,"19,365",13.6,45%,55 : 45,
2021,111,Nanjing University,"37,475",17.5,9%,49 : 51,=
2021,111,Uppsala University,"25,112",15.8,18%,58 : 42,=
2021,111,Vanderbilt University,"12,139",3.0,15%,54 : 46,=
2021,114,University of Bonn,"37,439",70.2,13%,56 : 44,=
2021,114,Penn State (Main campus),"46,682",11.0,15%,47 : 53,=
2021,116,Vrije Universiteit Amsterdam,"25,443",18.0,13%,58 : 42,
2021,117,University of Virginia (Main campus),"24,879",9.0,13%,52 : 48,
2021,118,University of Adelaide,"21,054",30.7,29%,49 : 51,=
2021,118,Free University of Berlin,"36,380",59.2,22%,59 : 41,=
2021,120,Georgetown University,"16,451",8.5,19%,55 : 45,
2021,121,Case Western Reserve University,"10,774",9.1,23%,50 : 50,=
2021,121,Maastricht University,"17,326",18.4,54%,60 : 40,=
2021,121,University of Sheffield,"26,765",15.5,35%,52 : 48,=
2021,124,University of Arizona,"39,635",18.0,9%,52 : 48,=
2021,124,Rice University,"6,805",9.2,28%,42 : 58,=
2021,126,City University of Hong Kong,"9,510",10.8,51%,54 : 46,
2021,127,University of Oslo,"20,737",12.2,17%,62 : 38,=
2021,127,University of Southampton,"23,500",14.3,35%,53 : 47,=
2021,129,The Hong Kong Polytechnic University,"22,778",25.4,27%,51 : 49,
2021,130,University of Göttingen,"30,894",28.0,13%,51 : 49,
2021,131,University of Alberta,"32,846",21.5,27%,55 : 45,=
2021,131,University of Colorado Boulder,"34,481",16.1,11%,44 : 56,=
2021,133,University of Pittsburgh-Pittsburgh campus,"26,761",5.7,11%,53 : 47,=
2021,133,University of York,"16,880",15.0,25%,57 : 43,=
2021,135,University of Hamburg,"30,649",58.7,12%,57 : 43,
2021,136,Lancaster University,"13,045",12.4,37%,51 : 49,=
2021,136,Université Paris Cité,"63,219",17.7,18%,64 : 36,=
2021,136,Radboud University Nijmegen,"20,752",17.3,16%,57 : 43,=
2021,139,The University of Western Australia,"18,253",22.5,29%,48 : 52,
2021,140,Indiana University,"67,054",15.0,15%,51 : 49,=
2021,140,University of Mannheim,"10,593",78.3,18%,,=
2021,140,Technical University of Berlin,"22,695",60.8,26%,34 : 66,=
2021,140,Ulm University,"10,503",28.4,13%,49 : 51,=
2021,140,University of Würzburg,"23,887",38.2,10%,56 : 44,=
2021,145,University of Cologne,"34,630",35.0,18%,,=
2021,145,University of Ottawa,"35,140",24.6,20%,58 : 42,=
2021,147,University of Auckland,"32,596",22.6,31%,56 : 44,=
2021,147,University of Rochester,"10,017",4.9,34%,49 : 51,=
2021,149,Durham University,"17,090",15.2,31%,55 : 45,=
2021,149,University of Geneva,"17,271",16.0,38%,61 : 39,=
2021,151,Pohang University of Science and Technology (POSTECH),"3,034",9.7,3%,24 : 76,
2021,152,University of Florida,"46,632",16.1,9%,56 : 44,=
2021,152,Pompeu Fabra University,"11,914",22.9,13%,60 : 40,=
2021,152,TU Dresden,"31,103",32.9,15%,43 : 57,=
2021,155,University of Cape Town,"21,647",11.7,17%,54 : 46,=
2021,155,Trinity College Dublin,"17,154",21.4,32%,59 : 41,=
2021,155,Tufts University,"11,024",9.7,16%,55 : 45,=
2021,158,Bielefeld University,"24,890",71.5,8%,57 : 43,=
2021,158,University of Nottingham,"30,800",15.1,29%,54 : 46,=
2021,160,University of Leeds,"31,460",14.3,30%,60 : 40,=
2021,160,University of Sussex,"16,260",15.9,37%,55 : 45,=
2021,160,University of Technology Sydney,"26,529",41.7,36%,51 : 49,=
2021,163,University of Liverpool,"25,170",14.6,33%,55 : 45,
2021,164,Université Catholique de Louvain,"26,462",39.7,20%,53 : 47,=
2021,164,University of Vienna,"32,650",38.5,28%,65 : 35,=
2021,166,Rutgers University–New Brunswick,"44,264",11.0,17%,52 : 48,
2021,167,University of Bologna,"67,298",24.4,12%,56 : 44,=
2021,167,Korea University,"22,666",16.6,22%,,=
2021,169,University of Alabama at Birmingham,"18,211",17.3,6%,63 : 37,
2021,170,University of Antwerp,"15,272",31.2,17%,55 : 45,=
2021,170,University of Leicester,"15,550",14.7,32%,53 : 47,=
2021,170,University of Notre Dame,"12,149",10.9,12%,46 : 54,=
2021,170,Sant’Anna School of Advanced Studies – Pisa,661,10.0,20%,36 : 64,=
2021,174,University of Exeter,"22,005",16.9,28%,54 : 46,=
2021,174,Lomonosov Moscow State University,"28,525",8.4,32%,52 : 48,=
2021,176,"Northeastern University, US","20,711",14.1,36%,48 : 52,=
2021,176,Ulsan National Institute of Science and Technology (UNIST),"3,983",14.3,8%,27 : 73,=
2021,178,University of Aberdeen,"12,860",16.6,42%,57 : 43,=
2021,178,Newcastle University,"24,090",14.6,27%,51 : 49,=
2021,178,Paris-Saclay University,"28,618",14.6,16%,55 : 45,=
2021,181,Scuola Normale Superiore di Pisa,557,6.7,11%,29 : 71,
2021,182,Universitat Autònoma de Barcelona (UAB),"31,284",12.5,17%,59 : 41,
2021,183,Stockholm University,"27,200",19.1,10%,,
2021,184,Arizona State University (Tempe),"45,827",19.7,20%,43 : 57,=
2021,184,University of Canberra,"10,304",37.4,35%,,=
2021,186,Queensland University of Technology,"35,555",42.0,17%,53 : 47,
2021,187,Eindhoven University of Technology,"9,469",21.3,23%,,=
2021,187,George Washington University,"23,788",13.4,17%,60 : 40,=
2021,187,Technical University of Denmark,"9,412",6.7,25%,31 : 69,=
2021,187,Yonsei University (Seoul campus),"17,745",14.7,22%,48 : 52,=
2021,191,Cardiff University,"25,900",14.1,28%,59 : 41,=
2021,191,University of Gothenburg,"19,616",9.8,13%,,=
2021,191,University of Lausanne,"12,685",8.8,24%,,=
2021,191,Tel Aviv University,"22,635",22.3,7%,56 : 44,=
2021,195,Macquarie University,"29,835",65.5,29%,53 : 47,=
2021,195,University of Münster,"44,580",42.9,8%,,=
2021,197,Texas A&M University,"62,070",24.4,8%,47 : 53,
2021,198,University of Barcelona,"45,494",15.0,11%,62 : 38,=
2021,198,University of Erlangen-Nuremberg,"38,052",57.3,12%,49 : 51,=
2021,200,University of Calgary,"31,863",17.6,21%,54 : 46,=
2021,200,University of East Anglia,"15,755",13.8,27%,59 : 41,=
2021,200,Queen’s University Belfast,"18,440",17.2,36%,56 : 44,=
2021,201–250,Aalborg University,"16,227",13.4,14%,,
2021,201–250,Aalto University,"12,506",18.6,24%,37 : 63,
2021,201–250,University of Bath,"14,410",16.2,33%,46 : 54,
2021,201–250,University of Bergen,"14,297",12.4,13%,60 : 40,
2021,201–250,Brandeis University,"5,346",12.7,27%,58 : 42,
2021,201–250,"University of California, Santa Cruz","19,457",23.8,12%,49 : 51,
2021,201–250,Chalmers University of Technology,"8,325",11.9,17%,32 : 68,
2021,201–250,Copenhagen Business School,"16,312",30.7,25%,48 : 52,
2021,201–250,Curtin University,"30,130",20.5,32%,52 : 48,
2021,201–250,University of Duisburg-Essen,"42,744",53.6,19%,48 : 52,
2021,201–250,University of Dundee,"12,245",17.5,22%,63 : 37,
2021,201–250,Griffith University,"33,645",28.6,17%,58 : 42,
2021,201–250,University of Hawai’i at Mānoa,"14,732",10.6,10%,57 : 43,
2021,201–250,Hebrew University of Jerusalem,"16,105",11.9,5%,57 : 43,
2021,201–250,University of Hohenheim,"9,235",42.5,15%,57 : 43,
2021,201–250,Howard University,"8,766",9.3,8%,67 : 33,
2021,201–250,University of Iowa,"29,406",11.6,10%,53 : 47,
2021,201–250,James Cook University,"11,198",21.0,11%,64 : 36,
2021,201–250,Karlsruhe Institute of Technology,"26,886",27.9,23%,28 : 72,
2021,201–250,King Abdulaziz University,"31,869",7.8,22%,54 : 46,
2021,201–250,KTH Royal Institute of Technology,"13,482",16.5,20%,33 : 67,
2021,201–250,La Trobe University,"22,303",31.9,30%,64 : 36,
2021,201–250,Université Libre de Bruxelles,"24,157",42.1,31%,56 : 44,
2021,201–250,University of Luxembourg,"4,858",19.0,51%,52 : 48,
2021,201–250,University of Massachusetts,"61,958",13.3,15%,48 : 52,
2021,201–250,Medical University of Graz,"3,541",12.1,25%,52 : 48,
2021,201–250,Medical University of Innsbruck,"3,080",11.0,44%,52 : 48,
2021,201–250,Medical University of Vienna,"7,466",8.8,30%,52 : 48,
2021,201–250,University of Miami,"16,179",6.3,16%,52 : 48,
2021,201–250,Moscow Institute of Physics and Technology (MIPT),"5,736",11.4,18%,25 : 75,
2021,201–250,University of Otago,"18,571",20.4,21%,59 : 41,
2021,201–250,RCSI University of Medicine and Health Sciences,"2,355",23.1,65%,,
2021,201–250,University of Reading,"15,205",15.8,31%,57 : 43,
2021,201–250,"St George’s, University of London","3,425",12.0,21%,62 : 38,
2021,201–250,University of São Paulo,"82,961",16.1,4%,47 : 53,
2021,201–250,Sapienza University of Rome,"77,496",22.9,7%,57 : 43,
2021,201–250,University of South Florida (Tampa),"34,839",19.2,15%,,
2021,201–250,University of St Andrews,"9,615",12.7,47%,58 : 42,
2021,201–250,Télécom Paris – Institut Polytechnique de Paris,897,5.4,43%,19 : 81,
2021,201–250,Tilburg University,"9,380",24.0,16%,47 : 53,
2021,201–250,Tohoku University,"17,752",11.7,12%,27 : 73,
2021,201–250,University of Twente,"8,207",14.4,35%,37 : 63,
2021,201–250,University of Utah,"30,692",14.8,8%,48 : 52,
2021,201–250,Virginia Polytechnic Institute and State University,"34,155",18.4,14%,43 : 57,
2021,201–250,University of Waterloo,"32,804",22.8,21%,47 : 53,
2021,201–250,Western University,"29,865",22.8,18%,56 : 44,
2021,201–250,University of the Witwatersrand,"27,839",25.8,7%,55 : 45,
2021,201–250,University of Wollongong,"18,517",30.5,29%,52 : 48,
2021,251–300,Alfaisal University,"2,640",10.2,34%,60 : 40,
2021,251–300,Auckland University of Technology,"17,909",17.1,49%,59 : 41,
2021,251–300,Australian Catholic University,"24,087",46.3,13%,73 : 27,
2021,251–300,Brighton and Sussex Medical School,900,9.5,14%,59 : 41,
2021,251–300,University at Buffalo,"26,341",17.5,16%,44 : 56,
2021,251–300,"University of California, Riverside","22,498",17.7,14%,53 : 47,
2021,251–300,University of Cincinnati – Uptown,"29,309",20.5,9%,51 : 49,
2021,251–300,Dalhousie University,"15,651",13.3,26%,54 : 46,
2021,251–300,Deakin University,"41,341",33.9,26%,57 : 43,
2021,251–300,École Nationale des Ponts et Chaussées - Institut Polytechnique de Paris,"2,059",11.5,43%,31 : 69,
2021,251–300,École Normale Supérieure de Lyon,"2,362",9.0,13%,48 : 52,
2021,251–300,Flinders University,"17,167",25.4,40%,64 : 36,
2021,251–300,Florida State University,"38,368",25.8,7%,57 : 43,
2021,251–300,Friedrich Schiller University Jena,"17,063",20.1,14%,,
2021,251–300,George Mason University,"30,500",18.1,11%,53 : 47,
2021,251–300,Goethe University Frankfurt,"46,481",19.2,16%,57 : 43,
2021,251–300,HSE University,"25,268",14.8,11%,,
2021,251–300,University of Illinois Chicago,"27,031",11.5,20%,52 : 48,
2021,251–300,Constructor University,"1,353",18.8,76%,43 : 57,
2021,251–300,University of Kiel,"27,181",22.3,8%,53 : 47,
2021,251–300,University of Konstanz,"11,553",51.1,13%,55 : 45,
2021,251–300,Kyung Hee University,"20,862",17.5,23%,54 : 46,
2021,251–300,Université Laval,"28,874",17.2,13%,58 : 42,
2021,251–300,Macau University of Science and Technology,"10,596",24.9,84%,56 : 44,
2021,251–300,University of Navarra,"11,329",14.9,24%,54 : 46,
2021,251–300,University of Newcastle,"23,221",21.7,18%,55 : 45,
2021,251–300,University of New Mexico (Main campus),"18,277",16.3,5%,56 : 44,
2021,251–300,Nova Southeastern University,"17,101",21.2,6%,70 : 30,
2021,251–300,Oregon Health and Science University,"2,999",1.0,3%,66 : 34,
2021,251–300,University of Padua,"46,900",21.7,7%,55 : 45,
2021,251–300,University of Potsdam,"20,668",55.0,12%,57 : 43,
2021,251–300,Queen’s University,"24,354",26.1,14%,58 : 42,
2021,251–300,Ruhr University Bochum,"42,954",59.5,15%,49 : 51,
2021,251–300,Simon Fraser University,"26,778",27.5,30%,55 : 45,
2021,251–300,University of Southern Denmark,"22,544",12.7,14%,53 : 47,
2021,251–300,Southern University of Science and Technology (SUSTech),"3,656",9.0,1%,,
2021,251–300,Stellenbosch University,"24,525",25.9,8%,56 : 44,
2021,251–300,SUNY University at Albany,"16,078",16.6,9%,53 : 47,
2021,251–300,Sun Yat-sen University,"53,734",16.1,8%,50 : 50,
2021,251–300,University of Surrey,"14,315",16.3,38%,54 : 46,
2021,251–300,Università della Svizzera italiana,"2,713",10.3,67%,49 : 51,
